;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,16384
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.0104973,0.000332135
1,61.0352,0.0104973,0.000332135
2,122.07,0.00303733,9.6057e-05
3,183.105,0.000251636,8.23788e-06
4,244.141,1.89157e-05,2.44328e-06
5,305.176,1.79258e-05,2.34248e-06
6,366.211,1.75649e-05,2.25986e-06
7,427.246,1.80611e-05,2.18939e-06
8,488.281,1.83716e-05,2.21131e-06
9,549.316,1.857e-05,2.18502e-06
10,610.352,1.91022e-05,2.13701e-06
11,671.387,1.95022e-05,2.22791e-06
12,732.422,1.98436e-05,2.38261e-06
13,793.457,2.03317e-05,2.43477e-06
14,854.492,1.99776e-05,2.44078e-06
15,915.527,1.9973e-05,2.50652e-06
16,976.563,2.0131e-05,2.39568e-06
17,1037.6,1.97256e-05,2.3339e-06
18,1098.63,1.84133e-05,2.31642e-06
19,1159.67,1.71873e-05,2.15886e-06
20,1220.7,1.76159e-05,2.04931e-06
21,1281.74,1.74605e-05,1.96353e-06
22,1342.77,1.65575e-05,1.90758e-06
23,1403.81,1.64028e-05,1.81043e-06
24,1464.84,1.62216e-05,1.84601e-06
25,1525.88,1.5442e-05,1.8896e-06
26,1586.91,1.48094e-05,1.87745e-06
27,1647.95,1.44319e-05,1.83206e-06
28,1708.98,1.41285e-05,1.77129e-06
29,1770.02,1.42415e-05,1.74625e-06
30,1831.05,1.43518e-05,1.73043e-06
31,1892.09,1.44597e-05,1.7261e-06
32,1953.13,1.43334e-05,1.72183e-06
33,2014.16,1.41453e-05,1.6747e-06
34,2075.2,1.40698e-05,1.73933e-06
35,2136.23,1.35974e-05,1.78056e-06
36,2197.27,1.34433e-05,1.78769e-06
37,2258.3,1.3623e-05,1.78683e-06
38,2319.34,1.36492e-05,1.79824e-06
39,2380.37,1.34721e-05,1.76668e-06
40,2441.41,1.36202e-05,1.69672e-06
41,2502.44,1.35602e-05,1.67019e-06
42,2563.48,1.31469e-05,1.71143e-06
43,2624.51,1.33836e-05,1.69598e-06
44,2685.55,1.38842e-05,1.64589e-06
45,2746.58,1.37545e-05,1.59811e-06
46,2807.62,1.34422e-05,1.65035e-06
47,2868.65,1.34998e-05,1.69597e-06
48,2929.69,1.41869e-05,1.6952e-06
49,2990.72,1.41054e-05,1.74861e-06
50,3051.76,1.39799e-05,1.78487e-06
51,3112.79,1.42441e-05,1.72324e-06
52,3173.83,1.41184e-05,1.71922e-06
53,3234.86,1.40963e-05,1.69783e-06
54,3295.9,1.40091e-05,1.70066e-06
55,3356.93,1.37807e-05,1.76517e-06
56,3417.97,1.35857e-05,1.78513e-06
57,3479,1.29743e-05,1.79309e-06
58,3540.04,1.22276e-05,1.79264e-06
59,3601.07,1.205e-05,1.71951e-06
60,3662.11,1.23624e-05,1.66686e-06
61,3723.14,1.32378e-05,1.6857e-06
62,3784.18,1.36524e-05,1.61041e-06
63,3845.21,1.33201e-05,1.53978e-06
64,3906.25,1.30106e-05,1.60918e-06
65,3967.29,1.32465e-05,1.69138e-06
66,4028.32,1.35078e-05,1.68908e-06
67,4089.36,1.3555e-05,1.6788e-06
68,4150.39,1.43429e-05,1.62767e-06
69,4211.43,1.45491e-05,1.55655e-06
70,4272.46,1.35256e-05,1.50306e-06
71,4333.5,1.31986e-05,1.51931e-06
72,4394.53,1.35426e-05,1.55443e-06
73,4455.57,1.35125e-05,1.56158e-06
74,4516.6,1.37408e-05,1.55002e-06
75,4577.64,1.37353e-05,1.57508e-06
76,4638.67,1.34711e-05,1.62764e-06
77,4699.71,1.33413e-05,1.62648e-06
78,4760.74,1.36581e-05,1.53667e-06
79,4821.78,1.38203e-05,1.481e-06
80,4882.81,1.29701e-05,1.52989e-06
81,4943.85,1.25286e-05,1.54168e-06
82,5004.88,1.25966e-05,1.54275e-06
83,5065.92,1.27924e-05,1.51884e-06
84,5126.95,1.29152e-05,1.44587e-06
85,5187.99,1.30106e-05,1.45033e-06
86,5249.02,1.31137e-05,1.52574e-06
87,5310.06,1.30412e-05,1.53296e-06
88,5371.09,1.30628e-05,1.45866e-06
89,5432.13,1.3111e-05,1.47216e-06
90,5493.16,1.30571e-05,1.50788e-06
91,5554.2,1.28427e-05,1.53639e-06
92,5615.23,1.2781e-05,1.47434e-06
93,5676.27,1.3169e-05,1.44107e-06
94,5737.3,1.28241e-05,1.50683e-06
95,5798.34,1.27208e-05,1.56016e-06
96,5859.38,1.3593e-05,1.541e-06
97,5920.41,1.3555e-05,1.4503e-06
98,5981.45,1.31817e-05,1.48758e-06
99,6042.48,1.30253e-05,1.52101e-06
100,6103.52,1.29071e-05,1.49968e-06
101,6164.55,1.29388e-05,1.52133e-06
102,6225.59,1.31212e-05,1.5141e-06
103,6286.62,1.32608e-05,1.45157e-06
104,6347.66,1.30368e-05,1.46806e-06
105,6408.69,1.31495e-05,1.54224e-06
106,6469.73,1.33018e-05,1.60546e-06
107,6530.76,1.33655e-05,1.56263e-06
108,6591.8,1.29709e-05,1.52965e-06
109,6652.83,1.27593e-05,1.60162e-06
110,6713.87,1.25728e-05,1.56271e-06
111,6774.9,1.2214e-05,1.54699e-06
112,6835.94,1.22385e-05,1.58122e-06
113,6896.97,1.18975e-05,1.60536e-06
114,6958.01,1.23661e-05,1.58464e-06
115,7019.04,1.26232e-05,1.48914e-06
116,7080.08,1.28693e-05,1.55473e-06
117,7141.11,1.35456e-05,1.62112e-06
118,7202.15,1.3247e-05,1.55629e-06
119,7263.18,1.28043e-05,1.49788e-06
120,7324.22,1.24658e-05,1.57987e-06
121,7385.25,1.28894e-05,1.59395e-06
122,7446.29,1.34199e-05,1.56291e-06
123,7507.32,1.38295e-05,1.57374e-06
124,7568.36,1.38288e-05,1.56483e-06
125,7629.39,1.30998e-05,1.49955e-06
126,7690.43,1.30815e-05,1.49524e-06
127,7751.46,1.34633e-05,1.5107e-06
128,7812.5,1.33721e-05,1.49276e-06
129,7873.54,1.37177e-05,1.50752e-06
130,7934.57,1.40056e-05,1.531e-06
131,7995.61,1.38211e-05,1.54753e-06
132,8056.64,1.37483e-05,1.53042e-06
133,8117.68,1.35291e-05,1.47706e-06
134,8178.71,1.36174e-05,1.4815e-06
135,8239.75,1.37055e-05,1.53035e-06
136,8300.78,1.34136e-05,1.53067e-06
137,8361.82,1.32741e-05,1.51113e-06
138,8422.85,1.29345e-05,1.54577e-06
139,8483.89,1.30659e-05,1.54268e-06
140,8544.92,1.40747e-05,1.54954e-06
141,8605.96,1.45681e-05,1.5439e-06
142,8666.99,1.37149e-05,1.5336e-06
143,8728.03,1.25018e-05,1.53426e-06
144,8789.06,1.20387e-05,1.54032e-06
145,8850.1,1.23288e-05,1.55329e-06
146,8911.13,1.33219e-05,1.59445e-06
147,8972.17,1.34556e-05,1.59462e-06
148,9033.2,1.31498e-05,1.554e-06
149,9094.24,1.31611e-05,1.58262e-06
150,9155.27,1.31613e-05,1.56187e-06
151,9216.31,1.25867e-05,1.55599e-06
152,9277.34,1.29991e-05,1.55575e-06
153,9338.38,1.3421e-05,1.57048e-06
154,9399.41,1.34273e-05,1.54135e-06
155,9460.45,1.35694e-05,1.49431e-06
156,9521.48,1.33072e-05,1.48777e-06
157,9582.52,1.23567e-05,1.48357e-06
158,9643.55,1.22766e-05,1.50406e-06
159,9704.59,1.25263e-05,1.48321e-06
160,9765.63,1.2717e-05,1.43008e-06
161,9826.66,1.26931e-05,1.45294e-06
162,9887.7,1.2567e-05,1.44895e-06
163,9948.73,1.32355e-05,1.45654e-06
164,10009.8,1.3401e-05,1.42644e-06
165,10070.8,1.2888e-05,1.45681e-06
166,10131.8,1.28232e-05,1.52344e-06
167,10192.9,1.27444e-05,1.50742e-06
168,10253.9,1.33085e-05,1.4507e-06
169,10314.9,1.36094e-05,1.46261e-06
170,10376,1.31404e-05,1.49151e-06
171,10437,1.28618e-05,1.50399e-06
172,10498,1.26258e-05,1.55517e-06
173,10559.1,1.28408e-05,1.56842e-06
174,10620.1,1.35175e-05,1.52787e-06
175,10681.2,1.32461e-05,1.50484e-06
176,10742.2,1.27928e-05,1.47343e-06
177,10803.2,1.25626e-05,1.46654e-06
178,10864.3,1.18175e-05,1.47408e-06
179,10925.3,1.16844e-05,1.4418e-06
180,10986.3,1.21136e-05,1.44516e-06
181,11047.4,1.25836e-05,1.53825e-06
182,11108.4,1.28862e-05,1.60908e-06
183,11169.4,1.28667e-05,1.56704e-06
184,11230.5,1.23919e-05,1.51662e-06
185,11291.5,1.26552e-05,1.4926e-06
186,11352.5,1.31303e-05,1.50659e-06
187,11413.6,1.30489e-05,1.57719e-06
188,11474.6,1.33136e-05,1.59941e-06
189,11535.6,1.3059e-05,1.55108e-06
190,11596.7,1.32395e-05,1.5518e-06
191,11657.7,1.32404e-05,1.58174e-06
192,11718.8,1.36113e-05,1.57586e-06
193,11779.8,1.37442e-05,1.60162e-06
194,11840.8,1.34345e-05,1.59734e-06
195,11901.9,1.32508e-05,1.4968e-06
196,11962.9,1.31584e-05,1.46058e-06
197,12023.9,1.29557e-05,1.43704e-06
198,12085,1.31279e-05,1.45772e-06
199,12146,1.29175e-05,1.53646e-06
200,12207,1.26655e-05,1.51255e-06
201,12268.1,1.28406e-05,1.51699e-06
202,12329.1,1.28121e-05,1.55945e-06
203,12390.1,1.27779e-05,1.53109e-06
204,12451.2,1.33605e-05,1.47375e-06
205,12512.2,1.34852e-05,1.45382e-06
206,12573.2,1.29266e-05,1.44607e-06
207,12634.3,1.27778e-05,1.46697e-06
208,12695.3,1.26644e-05,1.51908e-06
209,12756.3,1.26167e-05,1.54287e-06
210,12817.4,1.30562e-05,1.46264e-06
211,12878.4,1.254e-05,1.44324e-06
212,12939.5,1.23048e-05,1.461e-06
213,13000.5,1.28988e-05,1.47916e-06
214,13061.5,1.27701e-05,1.47333e-06
215,13122.6,1.23115e-05,1.53406e-06
216,13183.6,1.26527e-05,1.66527e-06
217,13244.6,1.27954e-05,1.67121e-06
218,13305.7,1.2552e-05,1.55831e-06
219,13366.7,1.26857e-05,1.48564e-06
220,13427.7,1.23379e-05,1.49186e-06
221,13488.8,1.27736e-05,1.47961e-06
222,13549.8,1.30474e-05,1.51276e-06
223,13610.8,1.28794e-05,1.56683e-06
224,13671.9,1.33175e-05,1.56893e-06
225,13732.9,1.36348e-05,1.54354e-06
226,13793.9,1.33189e-05,1.53671e-06
227,13855,1.25122e-05,1.52821e-06
228,13916,1.25088e-05,1.51728e-06
229,13977.1,1.2892e-05,1.45107e-06
230,14038.1,1.22819e-05,1.45114e-06
231,14099.1,1.19216e-05,1.46381e-06
232,14160.2,1.25249e-05,1.46701e-06
233,14221.2,1.2763e-05,1.51145e-06
234,14282.2,1.30922e-05,1.47229e-06
235,14343.3,1.32543e-05,1.41634e-06
236,14404.3,1.30754e-05,1.45127e-06
237,14465.3,1.32757e-05,1.43395e-06
238,14526.4,1.28489e-05,1.4795e-06
239,14587.4,1.22278e-05,1.54779e-06
240,14648.4,1.25325e-05,1.48297e-06
241,14709.5,1.31499e-05,1.44303e-06
242,14770.5,1.31862e-05,1.48553e-06
243,14831.5,1.26989e-05,1.50066e-06
244,14892.6,1.19188e-05,1.45827e-06
245,14953.6,1.24597e-05,1.47917e-06
246,15014.6,1.33505e-05,1.52794e-06
247,15075.7,1.31319e-05,1.44116e-06
248,15136.7,1.2676e-05,1.40279e-06
249,15197.8,1.29299e-05,1.47414e-06
250,15258.8,1.32422e-05,1.49777e-06
251,15319.8,1.26765e-05,1.44349e-06
252,15380.9,1.29002e-05,1.43573e-06
253,15441.9,1.3053e-05,1.47425e-06
254,15502.9,1.28538e-05,1.53058e-06
255,15564,1.32592e-05,1.57621e-06
256,15625,1.33687e-05,1.55045e-06
257,15686,1.28983e-05,1.60168e-06
258,15747.1,1.29791e-05,1.60506e-06
259,15808.1,1.29014e-05,1.55833e-06
260,15869.1,1.2951e-05,1.52268e-06
261,15930.2,1.32188e-05,1.51418e-06
262,15991.2,1.30892e-05,1.51832e-06
263,16052.2,1.27122e-05,1.52347e-06
264,16113.3,1.23782e-05,1.51216e-06
265,16174.3,1.26275e-05,1.44992e-06
266,16235.4,1.3039e-05,1.48391e-06
267,16296.4,1.28606e-05,1.57622e-06
268,16357.4,1.26755e-05,1.53432e-06
269,16418.5,1.26341e-05,1.50605e-06
270,16479.5,1.23536e-05,1.52856e-06
271,16540.5,1.24491e-05,1.54545e-06
272,16601.6,1.2917e-05,1.55975e-06
273,16662.6,1.32658e-05,1.54773e-06
274,16723.6,1.33896e-05,1.51263e-06
275,16784.7,1.35973e-05,1.51329e-06
276,16845.7,1.37127e-05,1.54134e-06
277,16906.7,1.33365e-05,1.52652e-06
278,16967.8,1.35103e-05,1.49517e-06
279,17028.8,1.31761e-05,1.52487e-06
280,17089.8,1.25206e-05,1.60487e-06
281,17150.9,1.25678e-05,1.60121e-06
282,17211.9,1.29117e-05,1.5211e-06
283,17272.9,1.35e-05,1.49599e-06
284,17334,1.34929e-05,1.49633e-06
285,17395,1.32772e-05,1.50417e-06
286,17456.1,1.32269e-05,1.52699e-06
287,17517.1,1.30035e-05,1.45802e-06
288,17578.1,1.28796e-05,1.44632e-06
289,17639.2,1.29172e-05,1.50587e-06
290,17700.2,1.31757e-05,1.58376e-06
291,17761.2,1.33653e-05,1.56675e-06
292,17822.3,1.36431e-05,1.4748e-06
293,17883.3,1.40241e-05,1.48586e-06
294,17944.3,1.3792e-05,1.51602e-06
295,18005.4,1.30703e-05,1.52479e-06
296,18066.4,1.26519e-05,1.53982e-06
297,18127.4,1.27186e-05,1.51921e-06
298,18188.5,1.30629e-05,1.47794e-06
299,18249.5,1.29996e-05,1.45825e-06
300,18310.5,1.26612e-05,1.46697e-06
301,18371.6,1.29082e-05,1.43236e-06
302,18432.6,1.31565e-05,1.41664e-06
303,18493.7,1.32514e-05,1.42986e-06
304,18554.7,1.31336e-05,1.46704e-06
305,18615.7,1.33851e-05,1.47054e-06
306,18676.8,1.34952e-05,1.48582e-06
307,18737.8,1.24622e-05,1.49604e-06
308,18798.8,1.216e-05,1.50365e-06
309,18859.9,1.27747e-05,1.54178e-06
310,18920.9,1.26408e-05,1.52535e-06
311,18981.9,1.22544e-05,1.47191e-06
312,19043,1.22215e-05,1.47744e-06
313,19104,1.2877e-05,1.46977e-06
314,19165,1.30155e-05,1.51462e-06
315,19226.1,1.21861e-05,1.4787e-06
316,19287.1,1.15382e-05,1.39893e-06
317,19348.1,1.1861e-05,1.42179e-06
318,19409.2,1.27672e-05,1.48385e-06
319,19470.2,1.28146e-05,1.51807e-06
320,19531.3,1.2158e-05,1.58663e-06
321,19592.3,1.21595e-05,1.60832e-06
322,19653.3,1.28193e-05,1.60494e-06
323,19714.4,1.2736e-05,1.54357e-06
324,19775.4,1.23676e-05,1.49417e-06
325,19836.4,1.21749e-05,1.52681e-06
326,19897.5,1.28227e-05,1.52935e-06
327,19958.5,1.31852e-05,1.53062e-06
328,20019.5,1.26252e-05,1.47672e-06
