;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,128
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000948732,3.03677e-05
1,7812.5,0.000948732,3.03677e-05
2,15625,0.000277802,9.0053e-06
3,23437.5,2.61432e-05,1.61483e-06
4,31250,1.24176e-05,1.47675e-06
5,39062.5,1.28646e-05,1.5042e-06
6,46875,1.30169e-05,1.49945e-06
7,54687.5,1.31423e-05,1.42002e-06
8,62500,1.2605e-05,1.38186e-06
9,70312.5,1.23635e-05,1.41417e-06
10,78125,1.20742e-05,1.37682e-06
11,85937.5,1.22372e-05,1.39143e-06
12,93750,1.25365e-05,1.45509e-06
13,101563,1.2527e-05,1.49117e-06
14,109375,1.22697e-05,1.49004e-06
15,117188,1.20552e-05,1.45694e-06
16,125000,1.21755e-05,1.41703e-06
17,132813,1.21118e-05,1.35979e-06
18,140625,1.2264e-05,1.37699e-06
19,148438,1.27692e-05,1.42214e-06
20,156250,1.28995e-05,1.43148e-06
21,164063,1.3155e-05,1.41598e-06
22,171875,1.33922e-05,1.43085e-06
23,179688,1.29016e-05,1.438e-06
24,187500,1.27402e-05,1.42503e-06
25,195313,1.27201e-05,1.41493e-06
26,203125,1.25128e-05,1.42676e-06
27,210938,1.20298e-05,1.43906e-06
28,218750,1.21591e-05,1.43116e-06
29,226563,1.23954e-05,1.44818e-06
30,234375,1.23944e-05,1.38992e-06
31,242188,1.20147e-05,1.38697e-06
32,250000,1.23768e-05,1.42045e-06
33,257813,1.21204e-05,1.45354e-06
34,265625,1.13038e-05,1.49225e-06
35,273438,1.20206e-05,1.5038e-06
36,281250,1.3164e-05,1.50065e-06
37,289063,1.33865e-05,1.43887e-06
38,296875,1.28901e-05,1.3988e-06
39,304688,1.25071e-05,1.40292e-06
40,312500,1.25146e-05,1.39144e-06
41,320313,1.24493e-05,1.44235e-06
42,328125,1.28638e-05,1.45587e-06
43,335938,1.30531e-05,1.45245e-06
44,343750,1.2645e-05,1.47062e-06
45,351563,1.20652e-05,1.42591e-06
