;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,2048
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00377094,0.000122493
1,488.281,0.00377094,0.000122493
2,976.563,0.00109307,3.57833e-05
3,1464.84,9.28047e-05,3.64324e-06
4,1953.13,1.55236e-05,1.69591e-06
5,2441.41,1.41909e-05,1.68815e-06
6,2929.69,1.2637e-05,1.64853e-06
7,3417.97,1.22341e-05,1.61298e-06
8,3906.25,1.25375e-05,1.64952e-06
9,4394.53,1.27941e-05,1.60724e-06
10,4882.81,1.33428e-05,1.47196e-06
11,5371.09,1.33558e-05,1.44414e-06
12,5859.38,1.36568e-05,1.50268e-06
13,6347.66,1.30368e-05,1.49299e-06
14,6835.94,1.23745e-05,1.46694e-06
15,7324.22,1.2884e-05,1.44174e-06
16,7812.5,1.30286e-05,1.45081e-06
17,8300.78,1.32746e-05,1.46126e-06
18,8789.06,1.32643e-05,1.43535e-06
19,9277.34,1.25675e-05,1.39311e-06
20,9765.63,1.29237e-05,1.42836e-06
21,10253.9,1.30164e-05,1.49775e-06
22,10742.2,1.28793e-05,1.50858e-06
23,11230.5,1.31094e-05,1.49904e-06
24,11718.8,1.29265e-05,1.43897e-06
25,12207,1.27842e-05,1.40944e-06
26,12695.3,1.28004e-05,1.42172e-06
27,13183.6,1.31234e-05,1.44739e-06
28,13671.9,1.34674e-05,1.50389e-06
29,14160.2,1.31952e-05,1.54168e-06
30,14648.4,1.25494e-05,1.5506e-06
31,15136.7,1.28106e-05,1.50579e-06
32,15625,1.25458e-05,1.48234e-06
33,16113.3,1.19819e-05,1.48663e-06
34,16601.6,1.23266e-05,1.4389e-06
35,17089.8,1.30775e-05,1.43465e-06
36,17578.1,1.31607e-05,1.49705e-06
37,18066.4,1.32052e-05,1.52214e-06
38,18554.7,1.34223e-05,1.47601e-06
39,19043,1.29897e-05,1.41023e-06
40,19531.3,1.22501e-05,1.38141e-06
41,20019.5,1.21974e-05,1.40386e-06
42,20507.8,1.21057e-05,1.44914e-06
43,20996.1,1.19793e-05,1.52463e-06
44,21484.4,1.17793e-05,1.51831e-06
45,21972.7,1.17947e-05,1.43214e-06
46,22460.9,1.22446e-05,1.4063e-06
47,22949.2,1.25558e-05,1.44495e-06
48,23437.5,1.2446e-05,1.42657e-06
49,23925.8,1.28486e-05,1.42497e-06
50,24414.1,1.31171e-05,1.54302e-06
51,24902.3,1.29096e-05,1.58204e-06
52,25390.6,1.2999e-05,1.52317e-06
53,25878.9,1.28939e-05,1.52542e-06
54,26367.2,1.27537e-05,1.49665e-06
55,26855.5,1.27184e-05,1.44924e-06
56,27343.8,1.3038e-05,1.45489e-06
57,27832,1.35456e-05,1.47463e-06
58,28320.3,1.32691e-05,1.49633e-06
59,28808.6,1.27786e-05,1.52601e-06
60,29296.9,1.23443e-05,1.54978e-06
61,29785.2,1.24997e-05,1.51577e-06
62,30273.4,1.2668e-05,1.50343e-06
63,30761.7,1.29319e-05,1.48523e-06
64,31250,1.31715e-05,1.49138e-06
65,31738.3,1.25014e-05,1.52259e-06
66,32226.6,1.19909e-05,1.46413e-06
67,32714.8,1.21277e-05,1.41102e-06
68,33203.1,1.23731e-05,1.41616e-06
69,33691.4,1.19767e-05,1.40852e-06
70,34179.7,1.20229e-05,1.4174e-06
71,34668,1.29105e-05,1.47105e-06
72,35156.3,1.34227e-05,1.44311e-06
73,35644.5,1.32696e-05,1.43425e-06
74,36132.8,1.27468e-05,1.44486e-06
75,36621.1,1.25886e-05,1.4184e-06
76,37109.4,1.28472e-05,1.43427e-06
77,37597.7,1.28342e-05,1.48842e-06
78,38085.9,1.25988e-05,1.4769e-06
79,38574.2,1.2758e-05,1.50299e-06
80,39062.5,1.26049e-05,1.51312e-06
81,39550.8,1.24212e-05,1.56235e-06
82,40039.1,1.25e-05,1.60926e-06
83,40527.3,1.26584e-05,1.54609e-06
84,41015.6,1.29533e-05,1.43623e-06
85,41503.9,1.30686e-05,1.3444e-06
86,41992.2,1.31066e-05,1.37277e-06
87,42480.5,1.29673e-05,1.387e-06
88,42968.8,1.2416e-05,1.37061e-06
89,43457,1.20577e-05,1.44272e-06
90,43945.3,1.20236e-05,1.51374e-06
91,44433.6,1.25281e-05,1.46832e-06
92,44921.9,1.28193e-05,1.40381e-06
93,45410.2,1.28809e-05,1.37218e-06
94,45898.4,1.26848e-05,1.4053e-06
95,46386.7,1.26095e-05,1.48248e-06
96,46875,1.25656e-05,1.51958e-06
97,47363.3,1.24637e-05,1.52048e-06
98,47851.6,1.27938e-05,1.53713e-06
99,48339.8,1.31789e-05,1.50515e-06
100,48828.1,1.29151e-05,1.51408e-06
101,49316.4,1.24409e-05,1.57403e-06
102,49804.7,1.28717e-05,1.59222e-06
103,50293,1.35815e-05,1.53897e-06
104,50781.3,1.36258e-05,1.45859e-06
105,51269.5,1.27383e-05,1.40528e-06
106,51757.8,1.20764e-05,1.3721e-06
107,52246.1,1.29439e-05,1.37601e-06
108,52734.4,1.33224e-05,1.44978e-06
109,53222.7,1.29303e-05,1.51801e-06
110,53710.9,1.28783e-05,1.48793e-06
111,54199.2,1.25922e-05,1.40641e-06
112,54687.5,1.22879e-05,1.37928e-06
113,55175.8,1.19192e-05,1.41798e-06
114,55664.1,1.24444e-05,1.45976e-06
115,56152.3,1.26756e-05,1.42178e-06
116,56640.6,1.2316e-05,1.37353e-06
117,57128.9,1.22512e-05,1.35955e-06
118,57617.2,1.28113e-05,1.36622e-06
119,58105.5,1.26583e-05,1.40069e-06
120,58593.8,1.23095e-05,1.43991e-06
121,59082,1.29945e-05,1.46658e-06
122,59570.3,1.33613e-05,1.52169e-06
123,60058.6,1.28879e-05,1.53186e-06
124,60546.9,1.26933e-05,1.5004e-06
125,61035.2,1.23808e-05,1.48692e-06
126,61523.4,1.23437e-05,1.47156e-06
127,62011.7,1.26265e-05,1.4204e-06
128,62500,1.28501e-05,1.34139e-06
129,62988.3,1.32287e-05,1.3528e-06
130,63476.6,1.35017e-05,1.39871e-06
131,63964.8,1.30367e-05,1.39804e-06
132,64453.1,1.25852e-05,1.40344e-06
133,64941.4,1.24259e-05,1.45521e-06
134,65429.7,1.20498e-05,1.4858e-06
135,65918,1.19383e-05,1.4323e-06
136,66406.3,1.16842e-05,1.41434e-06
137,66894.5,1.20118e-05,1.44685e-06
138,67382.8,1.2367e-05,1.46338e-06
139,67871.1,1.23838e-05,1.52673e-06
140,68359.4,1.24352e-05,1.54369e-06
141,68847.7,1.262e-05,1.50912e-06
142,69335.9,1.24008e-05,1.48674e-06
143,69824.2,1.25159e-05,1.45381e-06
144,70312.5,1.24981e-05,1.45048e-06
145,70800.8,1.25893e-05,1.49946e-06
146,71289.1,1.25651e-05,1.51837e-06
147,71777.3,1.17799e-05,1.47076e-06
148,72265.6,1.14535e-05,1.42866e-06
149,72753.9,1.19186e-05,1.39676e-06
150,73242.2,1.23799e-05,1.39781e-06
