;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,2048
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00389974,0.000120595
1,488.281,0.00389974,0.000120595
2,976.563,0.00112779,3.48293e-05
3,1464.84,9.40368e-05,3.29833e-06
4,1953.13,1.39319e-05,1.70022e-06
5,2441.41,1.31521e-05,1.67891e-06
6,2929.69,1.28461e-05,1.65096e-06
7,3417.97,1.2495e-05,1.61264e-06
8,3906.25,1.24846e-05,1.50788e-06
9,4394.53,1.21187e-05,1.45593e-06
10,4882.81,1.16683e-05,1.52809e-06
11,5371.09,1.21555e-05,1.55188e-06
12,5859.38,1.28666e-05,1.5323e-06
13,6347.66,1.31539e-05,1.53685e-06
14,6835.94,1.27719e-05,1.60475e-06
15,7324.22,1.24892e-05,1.5788e-06
16,7812.5,1.23401e-05,1.51218e-06
17,8300.78,1.24235e-05,1.47061e-06
18,8789.06,1.24029e-05,1.52167e-06
19,9277.34,1.27142e-05,1.5482e-06
20,9765.63,1.32319e-05,1.59418e-06
21,10253.9,1.31153e-05,1.66541e-06
22,10742.2,1.2434e-05,1.57096e-06
23,11230.5,1.23235e-05,1.53374e-06
24,11718.8,1.26564e-05,1.52529e-06
25,12207,1.30594e-05,1.53604e-06
26,12695.3,1.35459e-05,1.57549e-06
27,13183.6,1.32212e-05,1.5667e-06
28,13671.9,1.24726e-05,1.52109e-06
29,14160.2,1.21375e-05,1.50097e-06
30,14648.4,1.27908e-05,1.50726e-06
31,15136.7,1.36991e-05,1.51199e-06
32,15625,1.35734e-05,1.51532e-06
33,16113.3,1.29619e-05,1.46973e-06
34,16601.6,1.21711e-05,1.45367e-06
35,17089.8,1.20258e-05,1.48469e-06
36,17578.1,1.24533e-05,1.50687e-06
37,18066.4,1.27639e-05,1.51696e-06
38,18554.7,1.35686e-05,1.48183e-06
39,19043,1.38424e-05,1.50712e-06
40,19531.3,1.33875e-05,1.47026e-06
41,20019.5,1.33711e-05,1.45676e-06
42,20507.8,1.34534e-05,1.56102e-06
43,20996.1,1.33898e-05,1.6609e-06
44,21484.4,1.36429e-05,1.67799e-06
45,21972.7,1.33018e-05,1.56317e-06
46,22460.9,1.30341e-05,1.442e-06
47,22949.2,1.30823e-05,1.40599e-06
48,23437.5,1.29253e-05,1.42394e-06
49,23925.8,1.27827e-05,1.46659e-06
50,24414.1,1.30463e-05,1.52166e-06
51,24902.3,1.31063e-05,1.55408e-06
52,25390.6,1.28882e-05,1.55731e-06
53,25878.9,1.25348e-05,1.59239e-06
54,26367.2,1.2075e-05,1.58868e-06
55,26855.5,1.19997e-05,1.52853e-06
56,27343.8,1.22693e-05,1.4909e-06
57,27832,1.25061e-05,1.50129e-06
58,28320.3,1.24791e-05,1.48501e-06
59,28808.6,1.26307e-05,1.4686e-06
60,29296.9,1.24181e-05,1.47114e-06
61,29785.2,1.24646e-05,1.50343e-06
62,30273.4,1.24443e-05,1.51339e-06
63,30761.7,1.18171e-05,1.49072e-06
64,31250,1.22714e-05,1.50383e-06
65,31738.3,1.27338e-05,1.53287e-06
66,32226.6,1.30611e-05,1.54022e-06
67,32714.8,1.34481e-05,1.44404e-06
68,33203.1,1.30921e-05,1.45071e-06
69,33691.4,1.23268e-05,1.46839e-06
70,34179.7,1.18997e-05,1.44793e-06
71,34668,1.20859e-05,1.46974e-06
72,35156.3,1.19701e-05,1.51325e-06
73,35644.5,1.18169e-05,1.48622e-06
74,36132.8,1.20491e-05,1.47416e-06
75,36621.1,1.25489e-05,1.53025e-06
76,37109.4,1.28884e-05,1.55997e-06
77,37597.7,1.30296e-05,1.51779e-06
78,38085.9,1.28017e-05,1.4503e-06
79,38574.2,1.24512e-05,1.42549e-06
80,39062.5,1.28473e-05,1.45376e-06
81,39550.8,1.30624e-05,1.42491e-06
82,40039.1,1.27306e-05,1.41564e-06
83,40527.3,1.23607e-05,1.46349e-06
84,41015.6,1.21526e-05,1.46414e-06
85,41503.9,1.20541e-05,1.4774e-06
86,41992.2,1.25163e-05,1.55148e-06
87,42480.5,1.24448e-05,1.54097e-06
88,42968.8,1.19528e-05,1.5213e-06
89,43457,1.17583e-05,1.59271e-06
90,43945.3,1.19573e-05,1.60662e-06
91,44433.6,1.27714e-05,1.47141e-06
92,44921.9,1.35178e-05,1.35132e-06
93,45410.2,1.33943e-05,1.37983e-06
94,45898.4,1.30907e-05,1.4125e-06
95,46386.7,1.27771e-05,1.38818e-06
96,46875,1.25925e-05,1.4123e-06
97,47363.3,1.27729e-05,1.40695e-06
98,47851.6,1.28971e-05,1.37261e-06
99,48339.8,1.29597e-05,1.34432e-06
100,48828.1,1.27772e-05,1.37404e-06
101,49316.4,1.26286e-05,1.45744e-06
102,49804.7,1.22575e-05,1.50095e-06
103,50293,1.16713e-05,1.4778e-06
104,50781.3,1.22864e-05,1.42377e-06
105,51269.5,1.29829e-05,1.45771e-06
106,51757.8,1.27479e-05,1.5518e-06
107,52246.1,1.24639e-05,1.5336e-06
108,52734.4,1.23182e-05,1.47924e-06
109,53222.7,1.2437e-05,1.44517e-06
110,53710.9,1.27707e-05,1.43968e-06
111,54199.2,1.27157e-05,1.44542e-06
112,54687.5,1.25976e-05,1.45145e-06
113,55175.8,1.25595e-05,1.5029e-06
114,55664.1,1.23159e-05,1.54256e-06
115,56152.3,1.22795e-05,1.53577e-06
116,56640.6,1.19653e-05,1.52089e-06
117,57128.9,1.21241e-05,1.49445e-06
118,57617.2,1.24891e-05,1.47265e-06
119,58105.5,1.26555e-05,1.47608e-06
120,58593.8,1.26608e-05,1.46925e-06
121,59082,1.29721e-05,1.43033e-06
122,59570.3,1.29656e-05,1.41519e-06
123,60058.6,1.23908e-05,1.41772e-06
124,60546.9,1.2206e-05,1.5019e-06
125,61035.2,1.21328e-05,1.53152e-06
126,61523.4,1.21089e-05,1.49938e-06
127,62011.7,1.2013e-05,1.48058e-06
128,62500,1.18031e-05,1.54071e-06
129,62988.3,1.20919e-05,1.55769e-06
130,63476.6,1.292e-05,1.52517e-06
131,63964.8,1.28944e-05,1.4389e-06
132,64453.1,1.24951e-05,1.3705e-06
133,64941.4,1.2023e-05,1.44914e-06
134,65429.7,1.2276e-05,1.55355e-06
135,65918,1.26995e-05,1.53596e-06
136,66406.3,1.27765e-05,1.48656e-06
137,66894.5,1.25242e-05,1.43704e-06
138,67382.8,1.22537e-05,1.44895e-06
139,67871.1,1.24138e-05,1.46648e-06
140,68359.4,1.26887e-05,1.4821e-06
141,68847.7,1.28525e-05,1.45579e-06
142,69335.9,1.31403e-05,1.46027e-06
143,69824.2,1.30952e-05,1.53747e-06
144,70312.5,1.30263e-05,1.52811e-06
145,70800.8,1.29024e-05,1.46868e-06
146,71289.1,1.3015e-05,1.48853e-06
147,71777.3,1.33552e-05,1.52939e-06
148,72265.6,1.29887e-05,1.53034e-06
149,72753.9,1.21281e-05,1.5429e-06
150,73242.2,1.17189e-05,1.48395e-06
151,73730.5,1.21215e-05,1.44355e-06
152,74218.8,1.24044e-05,1.49084e-06
153,74707,1.28067e-05,1.51477e-06
154,75195.3,1.27049e-05,1.48352e-06
155,75683.6,1.22487e-05,1.47353e-06
156,76171.9,1.24211e-05,1.50376e-06
157,76660.2,1.21779e-05,1.54572e-06
158,77148.4,1.21314e-05,1.5478e-06
159,77636.7,1.19924e-05,1.53746e-06
160,78125,1.17874e-05,1.59341e-06
161,78613.3,1.21629e-05,1.57403e-06
162,79101.6,1.28038e-05,1.46624e-06
163,79589.8,1.23891e-05,1.45578e-06
164,80078.1,1.23406e-05,1.5233e-06
165,80566.4,1.28746e-05,1.51821e-06
166,81054.7,1.24313e-05,1.4692e-06
167,81543,1.22068e-05,1.44341e-06
168,82031.3,1.24943e-05,1.44876e-06
169,82519.5,1.26355e-05,1.45759e-06
170,83007.8,1.22599e-05,1.4861e-06
171,83496.1,1.16262e-05,1.4523e-06
172,83984.4,1.18979e-05,1.4287e-06
173,84472.7,1.2813e-05,1.42431e-06
174,84960.9,1.28454e-05,1.40049e-06
175,85449.2,1.22405e-05,1.3531e-06
176,85937.5,1.20548e-05,1.34238e-06
177,86425.8,1.23177e-05,1.42354e-06
178,86914.1,1.25492e-05,1.49027e-06
179,87402.3,1.27702e-05,1.56902e-06
180,87890.6,1.29019e-05,1.581e-06
181,88378.9,1.27047e-05,1.52999e-06
182,88867.2,1.25015e-05,1.52961e-06
183,89355.5,1.24266e-05,1.51881e-06
184,89843.8,1.25555e-05,1.44115e-06
185,90332,1.26588e-05,1.42144e-06
186,90820.3,1.24824e-05,1.46756e-06
187,91308.6,1.23441e-05,1.47965e-06
188,91796.9,1.23867e-05,1.47621e-06
189,92285.2,1.21556e-05,1.47734e-06
190,92773.4,1.23409e-05,1.4728e-06
191,93261.7,1.21696e-05,1.48214e-06
192,93750,1.2014e-05,1.48222e-06
193,94238.3,1.2324e-05,1.46958e-06
194,94726.6,1.22626e-05,1.45937e-06
195,95214.8,1.23896e-05,1.44508e-06
196,95703.1,1.2379e-05,1.44056e-06
197,96191.4,1.26504e-05,1.4696e-06
198,96679.7,1.23684e-05,1.4344e-06
199,97168,1.20372e-05,1.40087e-06
200,97656.3,1.2518e-05,1.41814e-06
201,98144.5,1.25837e-05,1.47322e-06
202,98632.8,1.25252e-05,1.46182e-06
203,99121.1,1.26271e-05,1.44978e-06
204,99609.4,1.23814e-05,1.50143e-06
205,100098,1.1891e-05,1.50719e-06
206,100586,1.19866e-05,1.43419e-06
207,101074,1.2183e-05,1.39955e-06
208,101563,1.19804e-05,1.47448e-06
209,102051,1.16878e-05,1.52627e-06
210,102539,1.2502e-05,1.50589e-06
211,103027,1.29108e-05,1.42602e-06
212,103516,1.22452e-05,1.45447e-06
213,104004,1.20931e-05,1.55423e-06
214,104492,1.17438e-05,1.55234e-06
215,104980,1.16428e-05,1.474e-06
216,105469,1.25531e-05,1.45192e-06
217,105957,1.28421e-05,1.54802e-06
218,106445,1.2307e-05,1.54347e-06
219,106934,1.18853e-05,1.52722e-06
220,107422,1.23505e-05,1.53702e-06
221,107910,1.2386e-05,1.50409e-06
222,108398,1.24604e-05,1.4203e-06
223,108887,1.27759e-05,1.36389e-06
224,109375,1.28322e-05,1.39524e-06
225,109863,1.25937e-05,1.43625e-06
226,110352,1.29762e-05,1.5057e-06
227,110840,1.37104e-05,1.54177e-06
228,111328,1.30509e-05,1.52634e-06
229,111816,1.24953e-05,1.52704e-06
230,112305,1.26183e-05,1.53444e-06
231,112793,1.26228e-05,1.54365e-06
232,113281,1.25204e-05,1.45594e-06
233,113770,1.25146e-05,1.3863e-06
234,114258,1.26682e-05,1.3711e-06
235,114746,1.30628e-05,1.39452e-06
236,115234,1.34764e-05,1.45705e-06
237,115723,1.30882e-05,1.51686e-06
238,116211,1.28942e-05,1.49637e-06
239,116699,1.30359e-05,1.48926e-06
240,117188,1.28329e-05,1.49845e-06
241,117676,1.26656e-05,1.38835e-06
242,118164,1.26606e-05,1.34047e-06
243,118652,1.25489e-05,1.3739e-06
244,119141,1.24583e-05,1.35393e-06
245,119629,1.3164e-05,1.3475e-06
246,120117,1.35654e-05,1.44153e-06
247,120605,1.3157e-05,1.42679e-06
248,121094,1.28596e-05,1.38421e-06
249,121582,1.24234e-05,1.38587e-06
250,122070,1.22884e-05,1.41493e-06
251,122559,1.25413e-05,1.42015e-06
252,123047,1.30086e-05,1.40905e-06
253,123535,1.33426e-05,1.40087e-06
254,124023,1.34134e-05,1.44859e-06
255,124512,1.3041e-05,1.47373e-06
256,125000,1.29635e-05,1.44783e-06
257,125488,1.3094e-05,1.41897e-06
258,125977,1.29669e-05,1.41967e-06
259,126465,1.32366e-05,1.40531e-06
260,126953,1.31055e-05,1.42263e-06
261,127441,1.25649e-05,1.40788e-06
262,127930,1.20791e-05,1.36331e-06
263,128418,1.15414e-05,1.38829e-06
264,128906,1.20046e-05,1.45876e-06
265,129395,1.28431e-05,1.52729e-06
266,129883,1.25071e-05,1.54001e-06
267,130371,1.23219e-05,1.50604e-06
268,130859,1.25009e-05,1.47271e-06
