;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00531325,0.000169797
1,244.141,0.00531325,0.000169797
2,488.281,0.00153793,4.9184e-05
3,732.422,0.000128388,4.67064e-06
4,976.563,1.87093e-05,2.24456e-06
5,1220.7,1.60308e-05,2.04962e-06
6,1464.84,1.43519e-05,1.82632e-06
7,1708.98,1.43164e-05,1.67607e-06
8,1953.13,1.35195e-05,1.71517e-06
9,2197.27,1.28698e-05,1.72564e-06
10,2441.41,1.35626e-05,1.68663e-06
11,2685.55,1.39807e-05,1.62223e-06
12,2929.69,1.36591e-05,1.65269e-06
13,3173.83,1.37525e-05,1.75605e-06
14,3417.97,1.40716e-05,1.73552e-06
15,3662.11,1.38534e-05,1.64226e-06
16,3906.25,1.39596e-05,1.67574e-06
17,4150.39,1.47225e-05,1.74733e-06
18,4394.53,1.44267e-05,1.63526e-06
19,4638.67,1.39694e-05,1.48266e-06
20,4882.81,1.39102e-05,1.4276e-06
21,5126.95,1.36378e-05,1.45697e-06
22,5371.09,1.34602e-05,1.48367e-06
23,5615.23,1.37793e-05,1.47574e-06
24,5859.38,1.40544e-05,1.54423e-06
25,6103.52,1.34698e-05,1.53759e-06
26,6347.66,1.31212e-05,1.5071e-06
27,6591.8,1.26906e-05,1.50356e-06
28,6835.94,1.26478e-05,1.46666e-06
29,7080.08,1.3788e-05,1.49049e-06
30,7324.22,1.40705e-05,1.54854e-06
31,7568.36,1.37578e-05,1.59102e-06
32,7812.5,1.3385e-05,1.60792e-06
33,8056.64,1.26156e-05,1.63379e-06
34,8300.78,1.21525e-05,1.55199e-06
35,8544.92,1.22793e-05,1.48221e-06
36,8789.06,1.27252e-05,1.51324e-06
37,9033.2,1.30414e-05,1.54344e-06
38,9277.34,1.30695e-05,1.5305e-06
39,9521.48,1.30162e-05,1.48567e-06
40,9765.63,1.30111e-05,1.47663e-06
41,10009.8,1.27826e-05,1.48527e-06
42,10253.9,1.26175e-05,1.47996e-06
43,10498,1.23896e-05,1.48123e-06
44,10742.2,1.18757e-05,1.49783e-06
45,10986.3,1.16452e-05,1.50977e-06
46,11230.5,1.23223e-05,1.50809e-06
47,11474.6,1.2809e-05,1.5298e-06
48,11718.8,1.28458e-05,1.52952e-06
49,11962.9,1.33742e-05,1.46236e-06
50,12207,1.39931e-05,1.43854e-06
51,12451.2,1.3558e-05,1.46842e-06
52,12695.3,1.32145e-05,1.48489e-06
53,12939.5,1.28441e-05,1.45405e-06
54,13183.6,1.22818e-05,1.46561e-06
55,13427.7,1.24079e-05,1.46813e-06
56,13671.9,1.25298e-05,1.45783e-06
57,13916,1.28563e-05,1.50197e-06
58,14160.2,1.35998e-05,1.51266e-06
59,14404.3,1.37515e-05,1.47345e-06
60,14648.4,1.282e-05,1.45154e-06
61,14892.6,1.21439e-05,1.49212e-06
62,15136.7,1.27043e-05,1.50242e-06
63,15380.9,1.32632e-05,1.51326e-06
64,15625,1.28548e-05,1.50204e-06
65,15869.1,1.26303e-05,1.49995e-06
66,16113.3,1.2844e-05,1.51659e-06
67,16357.4,1.28308e-05,1.50174e-06
68,16601.6,1.32946e-05,1.52465e-06
69,16845.7,1.3284e-05,1.54761e-06
70,17089.8,1.2968e-05,1.432e-06
71,17334,1.30625e-05,1.39288e-06
72,17578.1,1.34914e-05,1.4133e-06
73,17822.3,1.33387e-05,1.42086e-06
74,18066.4,1.36539e-05,1.44104e-06
75,18310.5,1.39485e-05,1.45388e-06
76,18554.7,1.31642e-05,1.49049e-06
77,18798.8,1.27656e-05,1.45438e-06
78,19043,1.30377e-05,1.42953e-06
79,19287.1,1.30835e-05,1.42968e-06
80,19531.3,1.31112e-05,1.41396e-06
81,19775.4,1.33337e-05,1.44018e-06
82,20019.5,1.3091e-05,1.44504e-06
83,20263.7,1.23095e-05,1.43377e-06
84,20507.8,1.22133e-05,1.44885e-06
85,20752,1.26002e-05,1.39919e-06
86,20996.1,1.30625e-05,1.37501e-06
87,21240.2,1.36499e-05,1.4853e-06
88,21484.4,1.42225e-05,1.51907e-06
89,21728.5,1.39419e-05,1.46634e-06
90,21972.7,1.30858e-05,1.44274e-06
91,22216.8,1.28962e-05,1.46529e-06
92,22460.9,1.28211e-05,1.46063e-06
93,22705.1,1.21279e-05,1.42663e-06
94,22949.2,1.21744e-05,1.47246e-06
95,23193.4,1.23759e-05,1.53497e-06
96,23437.5,1.21967e-05,1.5392e-06
97,23681.6,1.22406e-05,1.5047e-06
98,23925.8,1.20757e-05,1.50315e-06
99,24169.9,1.21896e-05,1.4864e-06
100,24414.1,1.24518e-05,1.4821e-06
101,24658.2,1.27949e-05,1.50094e-06
102,24902.3,1.29193e-05,1.48996e-06
103,25146.5,1.28444e-05,1.39861e-06
104,25390.6,1.31715e-05,1.35736e-06
105,25634.8,1.277e-05,1.47922e-06
106,25878.9,1.22698e-05,1.57175e-06
107,26123,1.2519e-05,1.55444e-06
108,26367.2,1.26384e-05,1.48507e-06
109,26611.3,1.23634e-05,1.44428e-06
110,26855.5,1.26645e-05,1.47913e-06
111,27099.6,1.29476e-05,1.48151e-06
112,27343.8,1.27135e-05,1.49138e-06
113,27587.9,1.25958e-05,1.49205e-06
114,27832,1.2114e-05,1.43302e-06
115,28076.2,1.21258e-05,1.455e-06
116,28320.3,1.27374e-05,1.49414e-06
117,28564.5,1.3041e-05,1.50851e-06
118,28808.6,1.30943e-05,1.53237e-06
119,29052.7,1.31652e-05,1.5351e-06
120,29296.9,1.33438e-05,1.5065e-06
121,29541,1.34883e-05,1.4973e-06
122,29785.2,1.32935e-05,1.49572e-06
123,30029.3,1.32358e-05,1.4672e-06
124,30273.4,1.23504e-05,1.42634e-06
125,30517.6,1.19014e-05,1.39429e-06
126,30761.7,1.21142e-05,1.44652e-06
127,31005.9,1.22534e-05,1.47565e-06
128,31250,1.2159e-05,1.45102e-06
129,31494.1,1.2258e-05,1.41941e-06
130,31738.3,1.25755e-05,1.46911e-06
131,31982.4,1.26237e-05,1.52723e-06
132,32226.6,1.27372e-05,1.48776e-06
133,32470.7,1.24768e-05,1.44681e-06
134,32714.8,1.24105e-05,1.46768e-06
135,32959,1.29042e-05,1.50393e-06
136,33203.1,1.30034e-05,1.55581e-06
137,33447.3,1.27105e-05,1.58561e-06
138,33691.4,1.22331e-05,1.58256e-06
139,33935.5,1.20483e-05,1.51754e-06
140,34179.7,1.22167e-05,1.46294e-06
141,34423.8,1.25046e-05,1.49834e-06
142,34668,1.30999e-05,1.57038e-06
143,34912.1,1.34025e-05,1.5434e-06
144,35156.3,1.33043e-05,1.50789e-06
145,35400.4,1.32578e-05,1.5171e-06
146,35644.5,1.31391e-05,1.52437e-06
147,35888.7,1.32869e-05,1.54698e-06
148,36132.8,1.31121e-05,1.48089e-06
149,36377,1.2839e-05,1.45488e-06
150,36621.1,1.30164e-05,1.49399e-06
151,36865.2,1.31899e-05,1.52711e-06
152,37109.4,1.29905e-05,1.49508e-06
153,37353.5,1.24195e-05,1.43065e-06
154,37597.7,1.2052e-05,1.45646e-06
155,37841.8,1.25337e-05,1.51391e-06
156,38085.9,1.29942e-05,1.55235e-06
157,38330.1,1.2546e-05,1.48476e-06
158,38574.2,1.21346e-05,1.45129e-06
159,38818.4,1.19347e-05,1.44525e-06
160,39062.5,1.24151e-05,1.44639e-06
161,39306.6,1.30448e-05,1.43842e-06
162,39550.8,1.29653e-05,1.49385e-06
163,39794.9,1.269e-05,1.56174e-06
164,40039.1,1.32245e-05,1.5841e-06
165,40283.2,1.3353e-05,1.58482e-06
166,40527.3,1.29759e-05,1.56548e-06
167,40771.5,1.28655e-05,1.52051e-06
168,41015.6,1.31556e-05,1.52035e-06
169,41259.8,1.34021e-05,1.517e-06
170,41503.9,1.32381e-05,1.46579e-06
171,41748,1.34378e-05,1.41474e-06
172,41992.2,1.35683e-05,1.47481e-06
173,42236.3,1.29699e-05,1.54086e-06
174,42480.5,1.28372e-05,1.54817e-06
175,42724.6,1.31309e-05,1.52475e-06
176,42968.8,1.31895e-05,1.48789e-06
177,43212.9,1.25779e-05,1.50522e-06
178,43457,1.27014e-05,1.5172e-06
179,43701.2,1.33209e-05,1.54539e-06
180,43945.3,1.33028e-05,1.54961e-06
181,44189.5,1.30654e-05,1.54002e-06
182,44433.6,1.26875e-05,1.48938e-06
183,44677.7,1.26132e-05,1.42396e-06
184,44921.9,1.26789e-05,1.45244e-06
185,45166,1.21758e-05,1.45966e-06
186,45410.2,1.20216e-05,1.44043e-06
187,45654.3,1.21101e-05,1.41743e-06
188,45898.4,1.19875e-05,1.41515e-06
189,46142.6,1.21779e-05,1.37749e-06
190,46386.7,1.26458e-05,1.34304e-06
191,46630.9,1.27857e-05,1.42055e-06
192,46875,1.27805e-05,1.48827e-06
193,47119.1,1.29012e-05,1.48675e-06
194,47363.3,1.26968e-05,1.49463e-06
195,47607.4,1.24334e-05,1.43678e-06
196,47851.6,1.29696e-05,1.40383e-06
197,48095.7,1.3487e-05,1.46818e-06
198,48339.8,1.28702e-05,1.49236e-06
199,48584,1.25615e-05,1.50271e-06
200,48828.1,1.29063e-05,1.45985e-06
201,49072.3,1.27439e-05,1.40022e-06
202,49316.4,1.26073e-05,1.42433e-06
203,49560.5,1.25876e-05,1.4541e-06
204,49804.7,1.26812e-05,1.49309e-06
205,50048.8,1.2929e-05,1.51573e-06
206,50293,1.28032e-05,1.51733e-06
207,50537.1,1.23017e-05,1.53687e-06
208,50781.3,1.25685e-05,1.45469e-06
209,51025.4,1.29263e-05,1.39076e-06
210,51269.5,1.34431e-05,1.42287e-06
211,51513.7,1.35237e-05,1.44308e-06
212,51757.8,1.32107e-05,1.43727e-06
213,52002,1.28302e-05,1.4384e-06
214,52246.1,1.2736e-05,1.44949e-06
215,52490.2,1.2784e-05,1.47993e-06
216,52734.4,1.30732e-05,1.54684e-06
217,52978.5,1.30441e-05,1.55659e-06
218,53222.7,1.285e-05,1.52803e-06
219,53466.8,1.2591e-05,1.58682e-06
220,53710.9,1.1737e-05,1.63212e-06
221,53955.1,1.17375e-05,1.54709e-06
