;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00149779,0.000488288
1,24.4141,0.00149779,0.000488288
2,48.8281,0.000433274,0.000141478
3,73.2422,3.59235e-05,1.32995e-05
4,97.6563,4.60048e-06,5.37568e-06
5,122.07,4.20083e-06,5.48755e-06
6,146.484,4.2487e-06,5.5591e-06
7,170.898,4.20023e-06,5.21698e-06
8,195.313,4.01836e-06,4.9007e-06
9,219.727,4.12884e-06,5.14988e-06
10,244.141,4.21163e-06,5.32032e-06
11,268.555,4.14202e-06,5.32306e-06
12,292.969,4.29322e-06,5.24709e-06
13,317.383,4.41376e-06,5.17119e-06
14,341.797,4.21823e-06,5.16194e-06
15,366.211,4.15211e-06,5.12866e-06
16,390.625,4.2223e-06,5.17731e-06
17,415.039,4.17117e-06,5.05234e-06
18,439.453,4.18463e-06,4.93985e-06
19,463.867,4.21876e-06,5.21291e-06
20,488.281,4.18472e-06,5.33269e-06
21,512.695,4.1524e-06,5.2313e-06
22,537.109,4.13712e-06,5.08087e-06
23,561.523,4.09264e-06,4.97712e-06
24,585.938,4.01829e-06,5.32652e-06
25,610.352,3.94265e-06,5.45721e-06
26,634.766,3.90415e-06,5.2267e-06
27,659.18,4.002e-06,5.23552e-06
28,683.594,4.16608e-06,5.27537e-06
29,708.008,4.12662e-06,5.32631e-06
30,732.422,4.01935e-06,5.28876e-06
31,756.836,4.10305e-06,5.25186e-06
32,781.25,4.25034e-06,5.36708e-06
33,805.664,4.18805e-06,5.26365e-06
34,830.078,4.03356e-06,5.00375e-06
35,854.492,4.07073e-06,5.04455e-06
36,878.906,4.0491e-06,5.31602e-06
37,903.32,4.09658e-06,5.42966e-06
38,927.734,4.13163e-06,5.2715e-06
39,952.148,4.21581e-06,5.18162e-06
40,976.563,4.27108e-06,5.26247e-06
41,1000.98,4.20894e-06,5.29658e-06
42,1025.39,4.2309e-06,5.23329e-06
43,1049.8,4.28303e-06,5.29655e-06
44,1074.22,4.23762e-06,5.25328e-06
45,1098.63,4.16478e-06,5.18889e-06
46,1123.05,4.23959e-06,5.24827e-06
47,1147.46,4.07228e-06,5.3135e-06
48,1171.88,3.9137e-06,5.26686e-06
49,1196.29,4.06286e-06,5.31685e-06
50,1220.7,4.21926e-06,5.30626e-06
51,1245.12,4.20086e-06,5.34687e-06
52,1269.53,4.17463e-06,5.24246e-06
53,1293.95,4.08216e-06,5.00618e-06
54,1318.36,4.00584e-06,5.13159e-06
55,1342.77,4.11217e-06,5.18412e-06
56,1367.19,4.16755e-06,5.09939e-06
57,1391.6,4.11154e-06,5.19915e-06
58,1416.02,4.00333e-06,5.09516e-06
59,1440.43,3.91805e-06,4.98576e-06
60,1464.84,3.97055e-06,4.94772e-06
61,1489.26,3.99725e-06,4.7746e-06
62,1513.67,3.85799e-06,4.71574e-06
63,1538.09,3.89092e-06,4.85135e-06
64,1562.5,3.92386e-06,5.05599e-06
65,1586.91,3.75891e-06,5.12152e-06
66,1611.33,3.85439e-06,5.02395e-06
67,1635.74,3.99973e-06,5.03292e-06
68,1660.16,3.87081e-06,5.02611e-06
69,1684.57,3.81079e-06,4.8881e-06
70,1708.98,3.85881e-06,4.80621e-06
71,1733.4,3.92578e-06,4.897e-06
72,1757.81,4.06191e-06,5.08706e-06
73,1782.23,4.03605e-06,5.06469e-06
74,1806.64,3.93418e-06,4.88277e-06
75,1831.05,3.85149e-06,4.93069e-06
76,1855.47,3.85894e-06,5.10047e-06
77,1879.88,3.98672e-06,5.08738e-06
78,1904.3,4.08314e-06,5.12166e-06
