;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00166215,0.000812017
1,24.4141,0.00166215,0.000812017
2,48.8281,0.000480686,0.000235004
3,73.2422,3.95366e-05,1.98867e-05
4,97.6563,4.1992e-06,4.36312e-06
5,122.07,3.82258e-06,4.40519e-06
6,146.484,3.82288e-06,4.43684e-06
7,170.898,3.90206e-06,4.48226e-06
8,195.313,3.78148e-06,4.27889e-06
9,219.727,3.76128e-06,4.16193e-06
10,244.141,3.83805e-06,4.38783e-06
11,268.555,4.00777e-06,4.5482e-06
12,292.969,3.98426e-06,4.46442e-06
13,317.383,4.02615e-06,4.36059e-06
14,341.797,4.00035e-06,4.20366e-06
15,366.211,3.9185e-06,4.23698e-06
16,390.625,3.98754e-06,4.31641e-06
17,415.039,3.99307e-06,4.26346e-06
18,439.453,3.9616e-06,4.24827e-06
19,463.867,4.01902e-06,4.25286e-06
20,488.281,3.99498e-06,4.26965e-06
21,512.695,4.06323e-06,4.33129e-06
22,537.109,4.20463e-06,4.32791e-06
23,561.523,4.25718e-06,4.19884e-06
24,585.938,4.33448e-06,4.20089e-06
25,610.352,4.3186e-06,4.00505e-06
26,634.766,4.06323e-06,3.89569e-06
27,659.18,3.95194e-06,4.25132e-06
28,683.594,4.05904e-06,4.32508e-06
29,708.008,3.96755e-06,4.2508e-06
30,732.422,3.89054e-06,4.16416e-06
31,756.836,3.90943e-06,4.23733e-06
32,781.25,4.02561e-06,4.40558e-06
33,805.664,4.0044e-06,4.25822e-06
34,830.078,3.89271e-06,4.1524e-06
35,854.492,3.86256e-06,4.36527e-06
36,878.906,4.01297e-06,4.60716e-06
37,903.32,4.09187e-06,4.53121e-06
38,927.734,3.90348e-06,4.2733e-06
39,952.148,3.83237e-06,4.23243e-06
40,976.563,3.87714e-06,4.45877e-06
41,1000.98,3.96922e-06,4.59623e-06
42,1025.39,3.99383e-06,4.35278e-06
43,1049.8,4.07948e-06,4.17677e-06
44,1074.22,4.04855e-06,4.05604e-06
45,1098.63,4.04313e-06,4.3419e-06
46,1123.05,4.02684e-06,4.68142e-06
47,1147.46,4.03005e-06,4.41363e-06
48,1171.88,3.97342e-06,4.14839e-06
