;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.000583834,0.00416344
1,24.4141,0.000583834,0.00416344
2,48.8281,0.000169245,0.00153555
3,73.2422,1.89635e-05,0.000999999
4,97.6563,1.28553e-05,0.000969773
5,122.07,1.27754e-05,0.000983397
6,146.484,1.2655e-05,0.0010122
7,170.898,1.20573e-05,0.000939096
8,195.313,1.17784e-05,0.000891454
9,219.727,1.19273e-05,0.000899248
10,244.141,1.22222e-05,0.000924429
11,268.555,1.2186e-05,0.000944781
12,292.969,1.24647e-05,0.000987648
13,317.383,1.31898e-05,0.0010202
14,341.797,1.35937e-05,0.00105311
15,366.211,1.33792e-05,0.00106026
16,390.625,1.26888e-05,0.00103679
17,415.039,1.23991e-05,0.00100407
18,439.453,1.26795e-05,0.000999245
19,463.867,1.22917e-05,0.000973059
20,488.281,1.1694e-05,0.000930524
21,512.695,1.16681e-05,0.00088941
22,537.109,1.1955e-05,0.000902129
23,561.523,1.29193e-05,0.000999754
24,585.938,1.27697e-05,0.00101796
25,610.352,1.19886e-05,0.000980034
26,634.766,1.26546e-05,0.00100805
27,659.18,1.3102e-05,0.00102558
28,683.594,1.24801e-05,0.000989865
29,708.008,1.25537e-05,0.000955452
30,732.422,1.25404e-05,0.000929551
31,756.836,1.20294e-05,0.000928694
32,781.25,1.1826e-05,0.00092898
33,805.664,1.21708e-05,0.000948078
34,830.078,1.22947e-05,0.000969242
35,854.492,1.24954e-05,0.000996638
36,878.906,1.28511e-05,0.00101728
37,903.32,1.27124e-05,0.000995835
38,927.734,1.25831e-05,0.000955851
39,952.148,1.25416e-05,0.000946027
40,976.563,1.22502e-05,0.000973447
41,1000.98,1.20173e-05,0.000972144
42,1025.39,1.17674e-05,0.000928825
43,1049.8,1.16898e-05,0.00091941
44,1074.22,1.20853e-05,0.000922591
45,1098.63,1.22495e-05,0.000946602
46,1123.05,1.25839e-05,0.00103522
47,1147.46,1.35909e-05,0.00110843
48,1171.88,1.47689e-05,0.00118572
49,1196.29,1.54054e-05,0.00123226
50,1220.7,1.65401e-05,0.00129874
51,1245.12,1.88128e-05,0.001452
52,1269.53,2.10747e-05,0.00162845
53,1293.95,2.31551e-05,0.0017695
54,1318.36,2.63875e-05,0.00198862
55,1342.77,3.04179e-05,0.00233428
56,1367.19,3.70423e-05,0.00288424
57,1391.6,4.20611e-05,0.00327101
58,1416.02,4.4137e-05,0.0033936
59,1440.43,4.51707e-05,0.00343418
60,1464.84,4.46667e-05,0.0033861
61,1489.26,4.22567e-05,0.00319673
62,1513.67,3.74494e-05,0.00285286
63,1538.09,3.18031e-05,0.00241641
64,1562.5,2.71352e-05,0.00207101
65,1586.91,2.65965e-05,0.00204133
66,1611.33,2.49564e-05,0.00189553
67,1635.74,1.9852e-05,0.00150986
68,1660.16,1.59545e-05,0.00124473
69,1684.57,1.4433e-05,0.00113883
70,1708.98,1.42859e-05,0.00113693
71,1733.4,1.39482e-05,0.00111783
72,1757.81,1.3436e-05,0.00103761
73,1782.23,1.33214e-05,0.0010088
74,1806.64,1.32282e-05,0.00103056
75,1831.05,1.29232e-05,0.0010191
76,1855.47,1.2995e-05,0.00101204
77,1879.88,1.27015e-05,0.000989238
78,1904.3,1.21459e-05,0.000954406
79,1928.71,1.20729e-05,0.000917588
80,1953.13,1.22021e-05,0.000945196
81,1977.54,1.25265e-05,0.00101117
82,2001.95,1.26157e-05,0.00103653
83,2026.37,1.22213e-05,0.0010049
84,2050.78,1.18356e-05,0.000960688
85,2075.2,1.19142e-05,0.000926244
86,2099.61,1.21055e-05,0.000929225
87,2124.02,1.26654e-05,0.000993962
88,2148.44,1.23386e-05,0.000979556
89,2172.85,1.20966e-05,0.000965483
