// SR1 Audio Analyzer: 10/23/2024 9:27:12 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,9.37668976085726E-8
0.48828125,9.92735559116338E-8
0.9765625,9.71695064132435E-8
1.46484375,8.08125498038074E-8
1.953125,6.57564620387585E-8
2.44140625,5.95613221829976E-8
2.9296875,5.87806295736997E-8
3.41796875,5.85049052860344E-8
3.90625,5.63440330618886E-8
4.39453125,5.20442563182642E-8
4.8828125,4.69881605981084E-8
5.37109375,4.48473560409587E-8
5.859375,4.36519552361241E-8
6.34765625,3.98889224367542E-8
6.8359375,3.72269694851946E-8
7.32421875,3.69539728837124E-8
7.8125,3.78294663511071E-8
8.30078125,3.88849193657671E-8
8.7890625,3.95497251291971E-8
9.27734375,3.96935840493089E-8
9.765625,3.9659026599991E-8
10.25390625,3.81299133066436E-8
10.7421875,3.63198184329124E-8
11.23046875,3.60187197808798E-8
11.71875,3.63145315357661E-8
12.20703125,3.55630144464347E-8
12.6953125,3.38673799881323E-8
13.18359375,3.34427777387713E-8
13.671875,3.38959957732656E-8
14.16015625,3.416909026966E-8
14.6484375,3.34972969973718E-8
15.13671875,3.32726231651568E-8
15.625,3.43511064683081E-8
16.11328125,3.44444431433365E-8
16.6015625,3.3268386190209E-8
17.08984375,3.21913605923951E-8
17.578125,3.21665681078383E-8
18.06640625,3.21737931607436E-8
18.5546875,3.11094073887286E-8
19.04296875,3.09952776607816E-8
19.53125,3.21143614835407E-8
20.01953125,3.23510169730386E-8
20.5078125,3.11570117770146E-8
20.99609375,3.02333103767506E-8
21.484375,3.09151977804649E-8
21.97265625,3.2170496742208E-8
22.4609375,3.26915913579964E-8
22.94921875,3.27208182505264E-8
23.4375,3.41331267060322E-8
23.92578125,3.96264169621463E-8
24.4140625,5.30848420988587E-8
24.90234375,6.30826745328238E-8
25.390625,5.53981345924166E-8
25.87890625,3.92472593463466E-8
26.3671875,3.37055159850652E-8
26.85546875,3.62093896025422E-8
27.34375,4.20077308887143E-8
27.83203125,5.43050981800839E-8
28.3203125,6.18922436272373E-8
28.80859375,5.27123002688972E-8
29.296875,3.70234094887452E-8
29.78515625,3.0346284625566E-8
30.2734375,2.90438488885703E-8
30.76171875,2.85977803525223E-8
31.25,2.95757869326061E-8
31.73828125,3.08175354547603E-8
32.2265625,3.04997301941528E-8
32.71484375,2.94740022881825E-8
33.203125,2.94470888747066E-8
33.69140625,2.94659867163098E-8
34.1796875,2.8789373683301E-8
34.66796875,2.866953263845E-8
35.15625,3.04067277001139E-8
35.64453125,3.35404402772086E-8
36.1328125,3.49569270091282E-8
36.62109375,3.30993971664326E-8
37.109375,3.00223735600554E-8
37.59765625,2.82074333141664E-8
38.0859375,2.91285331054928E-8
38.57421875,3.00793011269351E-8
39.0625,2.94505080366373E-8
39.55078125,2.92595103641344E-8
40.0390625,2.99818215536557E-8
40.52734375,2.96792315886437E-8
41.015625,2.77417612598639E-8
41.50390625,2.61815336248023E-8
41.9921875,2.56641005252955E-8
42.48046875,2.56308946375208E-8
42.96875,2.61062444057051E-8
43.45703125,2.63440858219459E-8
43.9453125,2.59311193674115E-8
44.43359375,2.58029997910484E-8
44.921875,2.63507327644422E-8
45.41015625,2.68332272195696E-8
45.8984375,2.77817130054089E-8
46.38671875,2.90683930009643E-8
46.875,2.78730001844758E-8
47.36328125,2.63279667832199E-8
47.8515625,2.86110845928723E-8
48.33984375,3.20216954345558E-8
48.828125,3.72501054151182E-8
49.31640625,5.200684003971E-8
49.8046875,6.82587359045816E-8
50.29296875,6.60602011628455E-8
50.78125,4.72696371957601E-8
51.26953125,3.29756891169293E-8
51.7578125,2.95050120338644E-8
52.24609375,2.92565790401288E-8
52.734375,2.98074230348062E-8
53.22265625,2.9318065063786E-8
53.7109375,2.73249583701712E-8
54.19921875,2.70445500890278E-8
54.6875,3.00328217300829E-8
55.17578125,3.33938286935416E-8
55.6640625,3.42823207135619E-8
56.15234375,3.3214318793791E-8
56.640625,3.22915108138109E-8
57.12890625,3.07882521092224E-8
57.6171875,2.78591940581612E-8
58.10546875,3.54649842672483E-8
58.59375,1.34279653692468E-7
59.08203125,4.05028449591525E-7
59.5703125,7.53323894373508E-7
60.05859375,8.87038692782906E-7
60.546875,6.68002850043751E-7
61.03515625,3.17221782596317E-7
61.5234375,9.37754974956376E-8
62.01171875,2.99169804479065E-8
62.5,2.71589774565584E-8
62.98828125,2.73717202379657E-8
63.4765625,2.92061596718973E-8
63.96484375,3.17597812303066E-8
64.453125,3.05201241055194E-8
64.94140625,2.75664044937134E-8
65.4296875,2.62876872867479E-8
65.91796875,2.6307463406534E-8
66.40625,2.58825372381334E-8
66.89453125,2.51859256571285E-8
67.3828125,2.49616760950682E-8
67.87109375,2.46495150879932E-8
68.359375,2.47307258694145E-8
68.84765625,2.62028582986377E-8
69.3359375,2.88913870466584E-8
69.82421875,3.10826142436652E-8
70.3125,3.01163338787317E-8
70.80078125,2.74808406879463E-8
71.2890625,2.6668331322441E-8
71.77734375,2.70972962930905E-8
72.265625,2.71714556057658E-8
72.75390625,2.659003165218E-8
73.2421875,2.59500660521067E-8
73.73046875,2.57313864544284E-8
74.21875,2.68620503625521E-8
74.70703125,3.00377098656929E-8
75.1953125,3.15702226097431E-8
75.68359375,2.96435035992006E-8
76.171875,2.69921954156959E-8
