// SR1 Audio Analyzer: 10/18/2024 9:29:36 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,1.24059724294676E-8
3.90625,1.38639515972474E-8
7.8125,1.51001965575426E-8
11.71875,1.42147112822877E-8
15.625,1.28300947768249E-8
19.53125,1.32154735937784E-8
23.4375,1.71085740249941E-8
27.34375,2.1051383314178E-8
31.25,1.97849396332505E-8
35.15625,1.46745442080511E-8
39.0625,1.12111621725816E-8
42.96875,1.05261804582565E-8
46.875,1.24180832407495E-8
50.78125,3.19007201539705E-8
54.6875,7.39539028807273E-8
58.59375,1.0906988950837E-7
62.5,1.02632947129317E-7
66.40625,6.17727636515335E-8
70.3125,2.46534999410215E-8
74.21875,1.10866000600329E-8
78.125,1.03766593399019E-8
82.03125,1.18761976571733E-8
85.9375,1.25556250079905E-8
89.84375,1.11939261305229E-8
93.75,9.85668516731917E-9
97.65625,9.76140475527147E-9
101.5625,9.77665858263676E-9
105.46875,9.60006927007214E-9
109.375,1.09044115535387E-8
113.28125,1.78158943461007E-8
117.1875,2.77248318676736E-8
121.09375,3.00210510165926E-8
125,2.15737464832808E-8
128.90625,1.14158537043734E-8
132.8125,7.98878528437408E-9
136.71875,8.69646130832979E-9
140.625,1.00424407784772E-8
144.53125,1.0160564490858E-8
148.4375,9.10663027517375E-9
152.34375,8.40346340786525E-9
156.25,8.13652606093011E-9
160.15625,7.90388857915949E-9
164.0625,7.99835905524073E-9
167.96875,1.20726147633035E-8
171.875,3.24465823270682E-8
175.78125,6.52702981102858E-8
179.6875,8.42946148874228E-8
183.59375,6.99217099757484E-8
187.5,3.71198085139896E-8
191.40625,1.38781506297332E-8
195.3125,8.63638673070419E-9
199.21875,8.72471249214678E-9
203.125,8.17208347327356E-9
207.03125,7.53234244470537E-9
210.9375,7.4271556260305E-9
214.84375,7.35586145603887E-9
218.75,7.27299111212825E-9
222.65625,7.40285969345348E-9
226.5625,7.46760983895415E-9
230.46875,8.76910897487373E-9
234.375,1.43588017817053E-8
238.28125,2.04479867373694E-8
242.1875,1.99492610488731E-8
246.09375,1.35870463126093E-8
250,8.69463458094983E-9
253.90625,7.8542293245705E-9
257.8125,7.88898059777858E-9
261.71875,7.52050156825216E-9
265.625,7.30111398313805E-9
269.53125,7.40302725427275E-9
273.4375,7.506726081642E-9
277.34375,7.41326973982273E-9
281.25,7.28753128432622E-9
285.15625,7.37611898646399E-9
289.0625,8.61023018380597E-9
292.96875,1.44465204538222E-8
296.875,2.3222721102101E-8
300.78125,2.6001577096344E-8
304.6875,1.93530562526091E-8
308.59375,1.06873027512967E-8
312.5,7.61361800034149E-9
316.40625,7.32020962888307E-9
320.3125,7.28054788734572E-9
324.21875,7.61363365068781E-9
328.125,7.79388880085318E-9
332.03125,7.51439503248078E-9
335.9375,7.14009757447753E-9
339.84375,7.06911700446346E-9
343.75,7.19516894029421E-9
347.65625,7.26510855475765E-9
351.5625,7.6246731751961E-9
355.46875,9.36295524302014E-9
359.375,1.11078541468372E-8
363.28125,1.04575242396544E-8
367.1875,8.55713920179525E-9
371.09375,7.45179629770998E-9
375,6.98573472414618E-9
378.90625,6.71882109115369E-9
382.8125,6.75925107021401E-9
386.71875,7.11280480511483E-9
390.625,7.26465057072627E-9
394.53125,7.1248541115901E-9
398.4375,7.03107583421636E-9
402.34375,6.93244364059449E-9
406.25,6.86665698231717E-9
410.15625,7.95872085247872E-9
414.0625,1.26447959581686E-8
417.96875,1.82182212561539E-8
421.875,1.84873519645559E-8
425.78125,1.31210607058859E-8
429.6875,7.9942779978295E-9
433.59375,6.58197251364147E-9
437.5,6.62546144398223E-9
441.40625,6.6802393323736E-9
445.3125,6.74995193491029E-9
449.21875,7.02645342351009E-9
453.125,7.26525994808801E-9
457.03125,7.10510768090179E-9
460.9375,6.95011301776523E-9
464.84375,7.04849232665667E-9
468.75,7.22237741821454E-9
472.65625,7.25668232655353E-9
476.5625,7.01387462892201E-9
480.46875,6.78049445879031E-9
484.375,6.86864781888281E-9
488.28125,6.91767077172896E-9
492.1875,6.65775675128992E-9
496.09375,6.44402047073396E-9
500,6.39341527737881E-9
503.90625,6.40907030356646E-9
507.8125,6.47501188135009E-9
511.71875,6.58260981423495E-9
515.625,6.75520568656397E-9
519.53125,6.73492417429116E-9
523.4375,6.42515796346763E-9
527.34375,6.47004840370471E-9
531.25,8.12259692026733E-9
535.15625,1.22994206358532E-8
539.0625,1.56866323714793E-8
542.96875,1.41623315815948E-8
546.875,9.4451933858981E-9
550.78125,6.66740970731455E-9
554.6875,6.29848616475038E-9
558.59375,6.3550209277634E-9
562.5,6.40282066431179E-9
566.40625,6.1810444612435E-9
570.3125,5.90595767385618E-9
574.21875,5.90706179343218E-9
578.125,6.03446066274433E-9
582.03125,6.11465312649202E-9
585.9375,6.35031512899832E-9
589.84375,6.74432489391222E-9
593.75,7.17018539271849E-9
597.65625,7.36665935396088E-9
601.5625,6.91400399729813E-9
605.46875,6.15631666772343E-9
609.375,5.87363205933875E-9
613.28125,6.03454369623092E-9
617.1875,6.42125158344988E-9
621.09375,6.82251434422534E-9
625,6.86596617174263E-9
628.90625,6.57474251313205E-9
632.8125,6.40473338136333E-9
636.71875,6.5204433114119E-9
640.625,6.54167709420447E-9
644.53125,6.39483967605218E-9
648.4375,6.47667590679676E-9
652.34375,7.31295287376537E-9
656.25,9.10082661571253E-9
660.15625,1.00812217917483E-8
664.0625,8.96508333984609E-9
667.96875,7.42370264023028E-9
671.875,6.93948214069183E-9
675.78125,6.95772164920602E-9
679.6875,6.99614422105516E-9
683.59375,7.03292716257806E-9
687.5,6.89530945066131E-9
691.40625,6.56663082788433E-9
695.3125,6.34515082606801E-9
699.21875,6.32124315523411E-9
703.125,6.30046231923599E-9
707.03125,6.26301438076415E-9
710.9375,6.41956605243148E-9
714.84375,6.61198931567045E-9
718.75,6.80436950483677E-9
722.65625,6.83942691361764E-9
726.5625,6.49550122752432E-9
730.46875,6.13706550413543E-9
734.375,5.97113286094463E-9
738.28125,6.00477130290148E-9
742.1875,6.19388386724502E-9
746.09375,6.42492400429583E-9
750,6.60178746178328E-9
753.90625,6.5817552696214E-9
757.8125,6.37940164818623E-9
761.71875,6.26873473236868E-9
765.625,6.40825722013347E-9
769.53125,6.94869010236829E-9
773.4375,9.33286496587854E-9
777.34375,1.30783763750443E-8
781.25,1.37531854778585E-8
785.15625,1.03441696941166E-8
789.0625,7.06233273239755E-9
792.96875,6.42184821820684E-9
796.875,6.47112969458161E-9
800.78125,6.29872409272304E-9
804.6875,6.18547499794097E-9
808.59375,6.40375824854461E-9
812.5,6.50436280441185E-9
816.40625,6.19650678718481E-9
820.3125,5.84694269068961E-9
824.21875,5.61038983985476E-9
828.125,5.54651157125527E-9
832.03125,5.70381744733845E-9
835.9375,6.09448109952859E-9
839.84375,6.35633496620472E-9
843.75,6.3361321598269E-9
847.65625,6.2703192601441E-9
851.5625,6.16806539326525E-9
855.46875,6.12469788878993E-9
859.375,6.28755191116645E-9
863.28125,6.52892147947566E-9
867.1875,6.57543813135734E-9
871.09375,6.53600373390612E-9
875,6.58833694870425E-9
878.90625,6.6683730889462E-9
882.8125,6.60260655939867E-9
886.71875,6.43342689551577E-9
890.625,6.36515101031245E-9
894.53125,6.70874184636177E-9
898.4375,7.19801169599809E-9
902.34375,6.87430642873868E-9
906.25,6.15334619001993E-9
910.15625,5.982957473184E-9
914.0625,6.18280835974735E-9
917.96875,6.34141004484528E-9
921.875,6.19674123503274E-9
925.78125,5.93774071088458E-9
929.6875,6.00838097784902E-9
933.59375,6.18969011570837E-9
937.5,6.20943550938593E-9
941.40625,6.18401299754128E-9
945.3125,6.06858937395824E-9
949.21875,5.99993083700743E-9
953.125,6.13456558736011E-9
957.03125,6.24018433440605E-9
960.9375,6.32502943550952E-9
964.84375,6.48727892138405E-9
968.75,6.53527376422149E-9
972.65625,6.33243043936856E-9
976.5625,6.13104640040581E-9
980.46875,6.11084049218389E-9
984.375,6.33666400342198E-9
988.28125,6.5476311183159E-9
992.1875,6.49456536202647E-9
996.09375,6.25449450914536E-9
1000,5.97867555808089E-9
1003.90625,5.82262916078236E-9
1007.8125,5.75145944426167E-9
1011.71875,6.20308250745273E-9
1015.625,7.84234773153446E-9
1019.53125,9.1258044085057E-9
1023.4375,8.40887273551015E-9
1027.34375,6.96440098066123E-9
1031.25,6.64820191402547E-9
1035.15625,6.81004361458545E-9
1039.0625,6.74165837467527E-9
1042.96875,6.55616663265384E-9
1046.875,6.35378547903031E-9
1050.78125,6.21401567919609E-9
1054.6875,6.12351725672811E-9
1058.59375,5.94979704126509E-9
1062.5,5.82219047416925E-9
1066.40625,5.83911079621916E-9
1070.3125,5.90740961688619E-9
1074.21875,6.10777511502093E-9
1078.125,6.3222969796829E-9
1082.03125,6.26786201114152E-9
1085.9375,6.02608537204977E-9
1089.84375,6.04220924624275E-9
1093.75,6.30740873961809E-9
1097.65625,6.3614774624173E-9
