// SR1 Audio Analyzer: 10/18/2024 9:49:51 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,6.66376142434097E-8
0.1220703125,6.16366360717394E-8
0.244140625,4.91428033883814E-8
0.3662109375,4.16312324573544E-8
0.48828125,3.83960878580763E-8
0.6103515625,3.54712882170317E-8
0.732421875,3.36649866774677E-8
0.8544921875,3.03660371034433E-8
0.9765625,2.7136591987757E-8
1.0986328125,2.98264080949141E-8
1.220703125,3.29388391780008E-8
1.3427734375,3.13585326449797E-8
1.46484375,2.92366127447821E-8
1.5869140625,2.72632197383803E-8
1.708984375,2.24968053919955E-8
1.8310546875,1.80072897355422E-8
1.953125,1.70257729882257E-8
2.0751953125,1.75300279749583E-8
2.197265625,1.86264801103007E-8
2.3193359375,2.01617583957266E-8
2.44140625,2.05561054515411E-8
2.5634765625,1.84646926444824E-8
2.685546875,1.58388286107741E-8
2.8076171875,1.54604371686023E-8
2.9296875,1.59627160615236E-8
3.0517578125,1.63315994844389E-8
3.173828125,1.69220479453605E-8
3.2958984375,1.69103930681135E-8
3.41796875,1.61604539865802E-8
3.5400390625,1.59858238059856E-8
3.662109375,1.64066963465094E-8
3.7841796875,1.553587633982E-8
3.90625,1.38819618625302E-8
4.0283203125,1.35838181720071E-8
4.150390625,1.47809567013737E-8
4.2724609375,1.62641406204577E-8
4.39453125,1.64686449437142E-8
4.5166015625,1.44478854993596E-8
4.638671875,1.15426745150462E-8
4.7607421875,1.10249098835083E-8
4.8828125,1.25166316965357E-8
5.0048828125,1.37745530644704E-8
5.126953125,1.40545706137334E-8
5.2490234375,1.33320893797794E-8
5.37109375,1.26557934795663E-8
5.4931640625,1.16590312480024E-8
5.615234375,1.04234841949129E-8
5.7373046875,1.09534122769632E-8
5.859375,1.1231743969619E-8
5.9814453125,1.07258853726452E-8
6.103515625,1.19116186215795E-8
6.2255859375,1.34615699476169E-8
6.34765625,1.39067078617013E-8
6.4697265625,1.42372203484755E-8
6.591796875,1.4708548855309E-8
6.7138671875,1.35820169114703E-8
6.8359375,1.13311026871357E-8
6.9580078125,1.12671022374147E-8
7.080078125,1.21178798840644E-8
7.2021484375,1.22339718371094E-8
7.32421875,1.27194401684091E-8
7.4462890625,1.25155601062346E-8
7.568359375,1.04793088355032E-8
7.6904296875,8.61404401193575E-9
7.8125,9.73730154396596E-9
7.9345703125,1.1885989152173E-8
8.056640625,1.30739977742066E-8
8.1787109375,1.3237806990002E-8
8.30078125,1.27493218153123E-8
8.4228515625,1.15559358442882E-8
8.544921875,9.77901563078846E-9
8.6669921875,9.57225685168144E-9
8.7890625,1.14205916454355E-8
8.9111328125,1.24648469070272E-8
9.033203125,1.19987496696156E-8
9.1552734375,1.06664377637322E-8
9.27734375,9.12335056524159E-9
9.3994140625,9.24165475023718E-9
9.521484375,1.06687203644951E-8
9.6435546875,1.08081825878881E-8
9.765625,9.71651159590243E-9
9.8876953125,9.01018900857198E-9
10.009765625,8.94847342110507E-9
10.1318359375,8.84141142120305E-9
10.25390625,9.52992987133832E-9
10.3759765625,1.1038804205179E-8
10.498046875,1.22563625142712E-8
10.6201171875,1.21058966448155E-8
10.7421875,1.12980061401649E-8
10.8642578125,1.21275856933206E-8
10.986328125,1.33068043618361E-8
11.1083984375,1.40558878030103E-8
11.23046875,1.46993762015534E-8
11.3525390625,1.50047835759905E-8
11.474609375,1.44432009903819E-8
11.5966796875,1.33424735310835E-8
11.71875,1.28167960463925E-8
11.8408203125,1.3220952336446E-8
11.962890625,1.37771458524487E-8
12.0849609375,1.33566036411022E-8
12.20703125,1.19597540552371E-8
12.3291015625,1.11307481639955E-8
12.451171875,1.15645519917695E-8
12.5732421875,1.20309610579585E-8
12.6953125,1.23745823399102E-8
12.8173828125,1.26128534087717E-8
12.939453125,1.15056763842125E-8
13.0615234375,9.84821869446412E-9
13.18359375,9.74196387314334E-9
13.3056640625,1.01481388014421E-8
13.427734375,9.9026007835216E-9
13.5498046875,1.04703613425662E-8
13.671875,1.11517909420387E-8
13.7939453125,1.09067165763202E-8
13.916015625,1.08955756576645E-8
14.0380859375,1.41013212912754E-8
14.16015625,1.96926126373813E-8
14.2822265625,2.14132255939628E-8
14.404296875,1.81190754888093E-8
14.5263671875,1.44929883370158E-8
14.6484375,1.24892537342884E-8
14.7705078125,1.07928978875109E-8
14.892578125,9.72828582593493E-9
15.0146484375,1.05348295779727E-8
15.13671875,1.22640176574247E-8
15.2587890625,1.38067584409841E-8
15.380859375,1.41634519871322E-8
15.5029296875,1.21110136778174E-8
15.625,8.77950709112286E-9
15.7470703125,7.22261531713865E-9
15.869140625,8.22384641836235E-9
15.9912109375,9.87485955606525E-9
16.11328125,1.0516960073051E-8
16.2353515625,9.90273070047987E-9
16.357421875,9.39054100894423E-9
16.4794921875,9.33705667636746E-9
16.6015625,9.63796897502899E-9
16.7236328125,1.05421309064849E-8
16.845703125,1.1944432409439E-8
16.9677734375,1.38830125809199E-8
17.08984375,1.44234209255957E-8
17.2119140625,1.28147834321063E-8
17.333984375,1.1367156329522E-8
17.4560546875,1.1738884927512E-8
17.578125,1.28359654486736E-8
17.7001953125,1.32276876928902E-8
17.822265625,1.26538827887563E-8
17.9443359375,1.11589139514151E-8
18.06640625,1.03785136139834E-8
18.1884765625,1.10729419228893E-8
18.310546875,1.1585405802944E-8
18.4326171875,1.21623936269649E-8
18.5546875,1.26914761354658E-8
18.6767578125,1.2782079800933E-8
18.798828125,1.25376574216865E-8
18.9208984375,1.18468323744745E-8
19.04296875,1.03746874144485E-8
19.1650390625,8.68045853434183E-9
19.287109375,7.89156085339809E-9
19.4091796875,9.23715045024506E-9
19.53125,1.12098899830408E-8
19.6533203125,1.17214402356003E-8
19.775390625,1.10958304491409E-8
19.8974609375,1.17177552991475E-8
20.01953125,1.30208121693044E-8
20.1416015625,1.29952795525894E-8
20.263671875,1.24069206737496E-8
20.3857421875,1.14709972461887E-8
20.5078125,9.74191877936421E-9
20.6298828125,8.7193550673121E-9
20.751953125,9.23292166784385E-9
20.8740234375,9.67251085200936E-9
20.99609375,9.38574041074516E-9
21.1181640625,9.45969822424255E-9
21.240234375,1.21211769146518E-8
21.3623046875,1.50484318362732E-8
21.484375,1.50850001289529E-8
21.6064453125,1.25943666542362E-8
21.728515625,9.00850577365416E-9
21.8505859375,6.43415181124068E-9
21.97265625,7.72920835299582E-9
22.0947265625,9.80459688778097E-9
22.216796875,9.97110259489245E-9
22.3388671875,8.43650526245219E-9
22.4609375,8.21125658364749E-9
22.5830078125,9.8375805163258E-9
22.705078125,1.09129562406119E-8
