// SR1 Audio Analyzer: 10/18/2024 9:49:11 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,8.08930484720834E-8
0.1220703125,6.92989267860935E-8
0.244140625,4.39986185413831E-8
0.3662109375,3.82666487439684E-8
0.48828125,4.6860025721819E-8
0.6103515625,4.75942712134487E-8
0.732421875,4.4751703418152E-8
0.8544921875,3.97162130428859E-8
0.9765625,3.43129460534314E-8
1.0986328125,3.39476880032738E-8
1.220703125,3.50653561450819E-8
1.3427734375,3.40167942075497E-8
1.46484375,3.34033651374754E-8
1.5869140625,3.2850538535555E-8
1.708984375,2.88403461604772E-8
1.8310546875,2.24948825056252E-8
1.953125,1.93434884681932E-8
2.0751953125,2.02264086414751E-8
2.197265625,2.03763277767885E-8
2.3193359375,1.99336040209836E-8
2.44140625,1.96316151759278E-8
2.5634765625,1.67689106178505E-8
2.685546875,1.28442431784525E-8
2.8076171875,1.26088880976097E-8
2.9296875,1.45258109667965E-8
3.0517578125,1.66557457015381E-8
3.173828125,1.73387191772599E-8
3.2958984375,1.59872722752444E-8
3.41796875,1.4486698869506E-8
3.5400390625,1.46418184087054E-8
3.662109375,1.58579312748591E-8
3.7841796875,1.53967160430117E-8
3.90625,1.27336010531032E-8
4.0283203125,1.27096096505492E-8
4.150390625,1.63759161549877E-8
4.2724609375,1.80416718803826E-8
4.39453125,1.72461089251494E-8
4.5166015625,1.56568475675296E-8
4.638671875,1.26205363131492E-8
4.7607421875,9.23065763954331E-9
4.8828125,8.70465718155872E-9
5.0048828125,1.04635171732282E-8
5.126953125,1.194131097237E-8
5.2490234375,1.28474152141335E-8
5.37109375,1.33298655208954E-8
5.4931640625,1.28216452026936E-8
5.615234375,1.23701703227734E-8
5.7373046875,1.28877008173828E-8
5.859375,1.29074865035601E-8
5.9814453125,1.21396303785086E-8
6.103515625,1.27810506359527E-8
6.2255859375,1.4009389750015E-8
6.34765625,1.43139015190692E-8
6.4697265625,1.49316690983369E-8
6.591796875,1.63808362977414E-8
6.7138671875,1.59430849212787E-8
6.8359375,1.20036626657646E-8
6.9580078125,9.54954147651075E-9
7.080078125,1.18590228976185E-8
7.2021484375,1.39132431646948E-8
7.32421875,1.5308664072195E-8
7.4462890625,1.5634937675615E-8
7.568359375,1.32845288661705E-8
7.6904296875,9.08512152065533E-9
7.8125,8.04368656597615E-9
7.9345703125,1.10482492069522E-8
8.056640625,1.34306417018518E-8
8.1787109375,1.40966238629768E-8
8.30078125,1.28453050937639E-8
8.4228515625,1.05503502121023E-8
8.544921875,9.95631570516941E-9
8.6669921875,1.15294728616874E-8
8.7890625,1.32365722156907E-8
8.9111328125,1.38528089983755E-8
9.033203125,1.38393683738685E-8
9.1552734375,1.27542698346781E-8
9.27734375,1.06796600433655E-8
9.3994140625,9.55568583390476E-9
9.521484375,9.39261026472473E-9
9.6435546875,8.36873705424946E-9
9.765625,8.00544352949318E-9
9.8876953125,8.848700123654E-9
10.009765625,9.07258768973818E-9
10.1318359375,9.03246618362603E-9
10.25390625,9.53545771696045E-9
10.3759765625,1.058863949438E-8
10.498046875,1.14936611690196E-8
10.6201171875,1.14679167628427E-8
10.7421875,1.14992212039414E-8
10.8642578125,1.27911817344524E-8
10.986328125,1.35822165072588E-8
11.1083984375,1.33838904254186E-8
11.23046875,1.29764961122002E-8
11.3525390625,1.28207963147049E-8
11.474609375,1.29673073704263E-8
11.5966796875,1.2956114572829E-8
11.71875,1.33382658301863E-8
11.8408203125,1.36801157066476E-8
11.962890625,1.30205828520674E-8
12.0849609375,1.16319484717927E-8
12.20703125,1.0406507414137E-8
12.3291015625,1.09473893381316E-8
12.451171875,1.24813822542831E-8
12.5732421875,1.3008002232466E-8
12.6953125,1.3714152337535E-8
12.8173828125,1.45799479545872E-8
12.939453125,1.29997092678357E-8
13.0615234375,1.01085692528091E-8
13.18359375,9.66442365403174E-9
13.3056640625,1.04274752350266E-8
13.427734375,1.03295739610786E-8
13.5498046875,1.13626715357673E-8
13.671875,1.28049621528681E-8
13.7939453125,1.31786720896222E-8
13.916015625,1.27771178819961E-8
14.0380859375,1.50506039735419E-8
14.16015625,2.06695320747532E-8
14.2822265625,2.17213011335482E-8
14.404296875,1.59446028666324E-8
14.5263671875,1.01363292752487E-8
14.6484375,9.72463445462872E-9
14.7705078125,1.03930027941375E-8
14.892578125,1.04815888741725E-8
15.0146484375,1.06216479669663E-8
15.13671875,1.14189154500041E-8
15.2587890625,1.2643047173708E-8
15.380859375,1.2768031664429E-8
15.5029296875,1.11145016600146E-8
15.625,8.85326657863819E-9
15.7470703125,8.35094848278547E-9
15.869140625,9.68693707437564E-9
15.9912109375,1.10675550649232E-8
16.11328125,1.16118747915831E-8
16.2353515625,1.05991281003716E-8
16.357421875,8.62030292512742E-9
16.4794921875,7.06913774274112E-9
16.6015625,7.218858700731E-9
16.7236328125,8.75410722357997E-9
16.845703125,1.15605868449747E-8
16.9677734375,1.57543737048842E-8
17.08984375,1.75755734653697E-8
17.2119140625,1.5199042957331E-8
17.333984375,1.07410451108519E-8
17.4560546875,8.57653687509275E-9
17.578125,1.18303003852934E-8
17.7001953125,1.45108805675967E-8
17.822265625,1.43681259113282E-8
17.9443359375,1.28529596579217E-8
18.06640625,1.22789392418275E-8
18.1884765625,1.28185850222086E-8
18.310546875,1.25822182971729E-8
18.4326171875,1.22566809592223E-8
18.5546875,1.2539727218776E-8
18.6767578125,1.28641079136742E-8
18.798828125,1.26439732068219E-8
18.9208984375,1.19254930078669E-8
19.04296875,1.11511099346584E-8
19.1650390625,9.97104384778062E-9
19.287109375,8.30739538182059E-9
19.4091796875,8.58353925265388E-9
19.53125,8.82806224882839E-9
19.6533203125,7.2202493156972E-9
19.775390625,6.86173894247553E-9
19.8974609375,8.53528062511019E-9
20.01953125,9.9085087597508E-9
20.1416015625,1.10557441182692E-8
20.263671875,1.15265301598635E-8
20.3857421875,1.11350749497069E-8
20.5078125,1.01944814119727E-8
20.6298828125,8.83068369224165E-9
20.751953125,8.42182511982188E-9
20.8740234375,8.88024726020307E-9
20.99609375,8.62785457197195E-9
21.1181640625,8.21124233580989E-9
21.240234375,1.00684423900912E-8
21.3623046875,1.15984425701499E-8
21.484375,1.0945935257249E-8
21.6064453125,9.80846883590811E-9
21.728515625,8.12443503500381E-9
21.8505859375,6.58778751832086E-9
21.97265625,8.15858196943897E-9
22.0947265625,1.12606519963368E-8
22.216796875,1.24614903122573E-8
22.3388671875,1.05222940003621E-8
22.4609375,8.33333631862329E-9
22.5830078125,9.24958195361904E-9
22.705078125,1.08300471937869E-8
22.8271484375,1.15193303155562E-8
22.94921875,1.23573647409333E-8
23.0712890625,1.47598478131382E-8
23.193359375,1.59195811745336E-8
23.3154296875,1.5521559400758E-8
23.4375,1.54947625178537E-8
23.5595703125,1.37816264273348E-8
23.681640625,1.11180898663428E-8
23.8037109375,1.14395611338465E-8
23.92578125,1.34629667081841E-8
24.0478515625,1.30966360400438E-8
24.169921875,1.0770591627048E-8
24.2919921875,9.82943454513797E-9
24.4140625,1.02439676525723E-8
24.5361328125,1.05431090101058E-8
24.658203125,1.04545037844802E-8
24.7802734375,9.61491969218404E-9
24.90234375,8.26824732671991E-9
25.0244140625,1.00846257489731E-8
25.146484375,1.34523976410638E-8
25.2685546875,1.38269330095955E-8
25.390625,1.19850719393485E-8
25.5126953125,1.06998229030572E-8
25.634765625,9.85939526271003E-9
25.7568359375,1.05303642425611E-8
25.87890625,1.32734290413075E-8
26.0009765625,1.50532015435348E-8
26.123046875,1.44937276783885E-8
26.2451171875,1.25731554904828E-8
26.3671875,1.0494149311236E-8
26.4892578125,8.99280357053125E-9
26.611328125,6.43081954610488E-9
26.7333984375,5.91528925183395E-9
26.85546875,9.21513819256185E-9
26.9775390625,1.15459619361172E-8
27.099609375,1.26915883473622E-8
27.2216796875,1.37734503411777E-8
27.34375,1.45214346900866E-8
27.4658203125,1.39688559441646E-8
27.587890625,1.12493247647888E-8
27.7099609375,7.77780973435423E-9
27.83203125,5.47199025805363E-9
27.9541015625,4.67860025224592E-9
28.076171875,8.8298726621102E-9
28.1982421875,3.1207348947384E-8
28.3203125,7.06452596754268E-8
28.4423828125,9.68345489557308E-8
28.564453125,8.30991081265454E-8
28.6865234375,4.47343002652222E-8
28.80859375,1.60845617721605E-8
28.9306640625,9.60983470101393E-9
29.052734375,1.01366767240603E-8
29.1748046875,1.03938471108457E-8
29.296875,1.18524411162425E-8
29.4189453125,1.30809574833547E-8
29.541015625,1.27367938618123E-8
29.6630859375,1.32536493008555E-8
29.78515625,1.55742388979774E-8
29.9072265625,1.62411812957152E-8
30.029296875,1.39967026195088E-8
30.1513671875,1.09281902391198E-8
30.2734375,9.31498617516249E-9
30.3955078125,9.35923452822689E-9
30.517578125,9.60947310630686E-9
30.6396484375,1.03943004069559E-8
30.76171875,1.11932505030528E-8
30.8837890625,9.78558342023623E-9
31.005859375,7.48942413736836E-9
31.1279296875,8.2485748273942E-9
31.25,8.77895678074599E-9
31.3720703125,8.29447922238064E-9
31.494140625,1.09852933681171E-8
31.6162109375,1.42063939440402E-8
31.73828125,1.44800549466725E-8
31.8603515625,1.24204798478792E-8
31.982421875,1.18241070727661E-8
32.1044921875,1.371697837538E-8
32.2265625,1.51588182849909E-8
32.3486328125,1.39029062620723E-8
32.470703125,1.10788540847055E-8
32.5927734375,9.22438233690982E-9
32.71484375,8.80903245125534E-9
32.8369140625,9.16270424128064E-9
32.958984375,9.29553314631784E-9
33.0810546875,1.08001300200963E-8
33.203125,1.3133781532169E-8
33.3251953125,1.4361822456301E-8
33.447265625,1.44520409385773E-8
33.5693359375,1.46592340614429E-8
33.69140625,1.4153342062587E-8
33.8134765625,1.26039559031309E-8
33.935546875,1.16243795588548E-8
34.0576171875,1.12096047282821E-8
34.1796875,1.1526752251069E-8
34.3017578125,1.27565501404786E-8
34.423828125,1.3501337813271E-8
34.5458984375,1.39856160828572E-8
34.66796875,1.36573339877222E-8
34.7900390625,1.09698259923933E-8
34.912109375,9.31830157716705E-9
35.0341796875,1.10992001947907E-8
