// SR1 Audio Analyzer: 10/18/2024 9:45:15 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,5.93121528732172E-8
0.1220703125,6.17163494414481E-8
0.244140625,5.6597428580782E-8
0.3662109375,4.50834898708828E-8
0.48828125,3.61088307683234E-8
0.6103515625,2.78855234232773E-8
0.732421875,2.36444000325715E-8
0.8544921875,2.25746959007661E-8
0.9765625,2.21590919497618E-8
1.0986328125,2.17031237289175E-8
1.220703125,2.01247020217324E-8
1.3427734375,1.91090232027764E-8
1.46484375,2.09438075537137E-8
1.5869140625,2.26795468943932E-8
1.708984375,2.10169484212142E-8
1.8310546875,1.81137595632635E-8
1.953125,1.70724960112056E-8
2.0751953125,1.82196150975286E-8
2.197265625,1.92185768438182E-8
2.3193359375,1.82427581960965E-8
2.44140625,1.6639466477284E-8
2.5634765625,1.69239906157631E-8
2.685546875,1.729179088474E-8
2.8076171875,1.6185545035936E-8
2.9296875,1.402850697795E-8
3.0517578125,1.32534111508538E-8
3.173828125,1.34673748321762E-8
3.2958984375,1.30799253135801E-8
3.41796875,1.40335765154764E-8
3.5400390625,1.49478625297518E-8
3.662109375,1.58640451915018E-8
3.7841796875,1.73896314565888E-8
3.90625,1.72449336604533E-8
4.0283203125,1.50958449579531E-8
4.150390625,1.29277861052445E-8
4.2724609375,1.28163280735661E-8
4.39453125,1.40151950352387E-8
4.5166015625,1.39228334718507E-8
4.638671875,1.29166438104982E-8
4.7607421875,1.24548849272887E-8
4.8828125,1.30579739357323E-8
5.0048828125,1.29305098577059E-8
5.126953125,1.205266296406E-8
5.2490234375,1.32663406775711E-8
5.37109375,1.47714867026472E-8
5.4931640625,1.3805825303188E-8
5.615234375,1.15694376971899E-8
5.7373046875,1.06842913793097E-8
5.859375,1.07250929492448E-8
5.9814453125,1.09385706628879E-8
6.103515625,1.19287709194288E-8
6.2255859375,1.27452932481467E-8
6.34765625,1.26273469998113E-8
6.4697265625,1.28480653424294E-8
6.591796875,1.51062238377434E-8
6.7138671875,1.68951693738774E-8
6.8359375,1.55967007357649E-8
6.9580078125,1.28779026352751E-8
7.080078125,1.07849595873545E-8
7.2021484375,1.04980200317205E-8
7.32421875,1.14083907190526E-8
7.4462890625,1.26383392938935E-8
7.568359375,1.40731745976633E-8
7.6904296875,1.5374523450739E-8
7.8125,1.53770365299462E-8
7.9345703125,1.40246150854924E-8
8.056640625,1.3557488337927E-8
8.1787109375,1.404136191585E-8
8.30078125,1.34226916802953E-8
8.4228515625,1.25078779280496E-8
8.544921875,1.39579361898473E-8
8.6669921875,1.50781305965664E-8
8.7890625,1.35606383203215E-8
8.9111328125,1.09518410609568E-8
9.033203125,1.05085573925954E-8
9.1552734375,1.16452140817828E-8
9.27734375,1.18783213411828E-8
9.3994140625,1.10129006864748E-8
9.521484375,1.09030634056806E-8
9.6435546875,1.16640902899048E-8
9.765625,1.25282829007697E-8
9.8876953125,1.36885171068806E-8
10.009765625,1.44570676452478E-8
10.1318359375,1.38634110454351E-8
10.25390625,1.28377882829852E-8
10.3759765625,1.33640508525943E-8
10.498046875,1.41007045720514E-8
10.6201171875,1.3677308904485E-8
10.7421875,1.28792782115333E-8
10.8642578125,1.24666369886213E-8
10.986328125,1.26272944602344E-8
11.1083984375,1.40334941038127E-8
11.23046875,1.54715768674462E-8
11.3525390625,1.50029521333931E-8
11.474609375,1.33488487071363E-8
11.5966796875,1.20854116689044E-8
11.71875,1.12912174210844E-8
11.8408203125,1.01794950717822E-8
11.962890625,9.08986771791332E-9
12.0849609375,9.03131142729029E-9
12.20703125,1.00916180349055E-8
12.3291015625,1.06274611059108E-8
12.451171875,1.09923252617812E-8
12.5732421875,1.16870078093843E-8
12.6953125,1.23408473296587E-8
12.8173828125,1.34498346792014E-8
12.939453125,1.28286966799493E-8
13.0615234375,1.04500672097659E-8
13.18359375,9.3546255021853E-9
13.3056640625,9.64375825244801E-9
13.427734375,1.0203699416376E-8
13.5498046875,1.09829177917186E-8
13.671875,1.20538422742479E-8
13.7939453125,1.3687985275296E-8
13.916015625,1.52826469944739E-8
14.0380859375,1.74182851259625E-8
14.16015625,2.08299071805139E-8
14.2822265625,2.06296326464482E-8
14.404296875,1.5672544003424E-8
14.5263671875,1.12028670085715E-8
14.6484375,9.95808187233101E-9
14.7705078125,9.85011750143409E-9
14.892578125,9.75928009930193E-9
15.0146484375,9.9643424361404E-9
15.13671875,9.87444827152854E-9
15.2587890625,9.33423714002651E-9
15.380859375,9.42220576589032E-9
15.5029296875,1.00119733410555E-8
15.625,9.57331654998474E-9
15.7470703125,8.80882429500697E-9
15.869140625,9.7191261468482E-9
15.9912109375,1.13894036258205E-8
16.11328125,1.1783285112469E-8
16.2353515625,1.09740206294953E-8
16.357421875,1.08406156767871E-8
16.4794921875,1.11025662373655E-8
16.6015625,1.13827312458371E-8
16.7236328125,1.2598030023866E-8
16.845703125,1.43804398192818E-8
16.9677734375,1.62032471624643E-8
17.08984375,1.66463649054636E-8
17.2119140625,1.45351321103474E-8
17.333984375,1.18722809411437E-8
17.4560546875,1.10076686056545E-8
17.578125,1.14821451470406E-8
17.7001953125,1.29581573114533E-8
