// SR1 Audio Analyzer: 10/18/2024 9:46:20 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,5.90858543637182E-8
0.1220703125,6.20588651585419E-8
0.244140625,5.69903214535367E-8
0.3662109375,4.52352592304103E-8
0.48828125,3.56363008084092E-8
0.6103515625,2.82278455515036E-8
0.732421875,2.6679093606322E-8
0.8544921875,2.70917941472242E-8
0.9765625,2.6475560163174E-8
1.0986328125,2.40218497413582E-8
1.220703125,2.0565552895656E-8
1.3427734375,1.91996692818021E-8
1.46484375,1.97293358068096E-8
1.5869140625,1.95985836647171E-8
1.708984375,1.76208604359105E-8
1.8310546875,1.5018329983778E-8
1.953125,1.45712962210357E-8
2.0751953125,1.7467852969304E-8
2.197265625,1.95540374947516E-8
2.3193359375,1.86489721119801E-8
2.44140625,1.6518719682853E-8
2.5634765625,1.57528159622831E-8
2.685546875,1.54056229737337E-8
2.8076171875,1.46329342866724E-8
2.9296875,1.42465332645489E-8
3.0517578125,1.44058923413565E-8
3.173828125,1.48947045937754E-8
3.2958984375,1.49250471331028E-8
3.41796875,1.52079983702409E-8
3.5400390625,1.51347524989123E-8
3.662109375,1.50474570777349E-8
3.7841796875,1.58497631279106E-8
3.90625,1.55366883162785E-8
4.0283203125,1.38728949469187E-8
4.150390625,1.254865663213E-8
4.2724609375,1.24312939404127E-8
4.39453125,1.33357616480316E-8
4.5166015625,1.36647623220532E-8
4.638671875,1.30905021934349E-8
4.7607421875,1.2486844424783E-8
4.8828125,1.23549049957849E-8
5.0048828125,1.22495496459824E-8
5.126953125,1.22007234403148E-8
5.2490234375,1.34586248782558E-8
5.37109375,1.48519012400159E-8
5.4931640625,1.48784153222884E-8
5.615234375,1.40819006831551E-8
5.7373046875,1.35391419105744E-8
5.859375,1.33984519403049E-8
5.9814453125,1.31695253885223E-8
6.103515625,1.32203061578913E-8
6.2255859375,1.41093552371069E-8
6.34765625,1.47365254995909E-8
6.4697265625,1.46443910225478E-8
6.591796875,1.47927691253654E-8
6.7138671875,1.46898227433019E-8
6.8359375,1.35013917516561E-8
6.9580078125,1.24392723778736E-8
7.080078125,1.21002287816935E-8
7.2021484375,1.22331496152123E-8
7.32421875,1.24539467429377E-8
7.4462890625,1.27331505903079E-8
7.568359375,1.34258179851667E-8
7.6904296875,1.43467995264657E-8
7.8125,1.45720759094791E-8
7.9345703125,1.36636003836891E-8
8.056640625,1.24681173786523E-8
8.1787109375,1.23530733623681E-8
8.30078125,1.3037148604262E-8
8.4228515625,1.37247876127545E-8
8.544921875,1.44492206019932E-8
8.6669921875,1.43380749827402E-8
8.7890625,1.31259448249382E-8
8.9111328125,1.1356918338203E-8
9.033203125,1.16320405792798E-8
9.1552734375,1.36153616912902E-8
9.27734375,1.43954122540549E-8
9.3994140625,1.39746333660202E-8
9.521484375,1.38871370946877E-8
9.6435546875,1.36163455565376E-8
9.765625,1.2694295626057E-8
9.8876953125,1.19764486329598E-8
10.009765625,1.19138500788997E-8
10.1318359375,1.15208717962902E-8
10.25390625,1.11280413234403E-8
10.3759765625,1.22954936401369E-8
10.498046875,1.33671131007745E-8
10.6201171875,1.27155101791213E-8
10.7421875,1.17839818805216E-8
10.8642578125,1.19758327904301E-8
10.986328125,1.2343099529259E-8
11.1083984375,1.30513591969281E-8
11.23046875,1.4216982422689E-8
11.3525390625,1.4818889427836E-8
11.474609375,1.43632088707758E-8
11.5966796875,1.34513223541583E-8
11.71875,1.25395506027066E-8
11.8408203125,1.14194010644314E-8
11.962890625,1.06594856442904E-8
12.0849609375,1.07277609607241E-8
12.20703125,1.07949847993939E-8
12.3291015625,1.0476097619031E-8
12.451171875,1.09407914902093E-8
12.5732421875,1.13430162535397E-8
12.6953125,1.12673975622913E-8
12.8173828125,1.2234637417469E-8
12.939453125,1.23626838174422E-8
13.0615234375,1.07638300681843E-8
13.18359375,9.74530403885114E-9
13.3056640625,1.02605651303357E-8
13.427734375,1.05153546486639E-8
13.5498046875,1.02062944676509E-8
13.671875,1.0803310441932E-8
13.7939453125,1.24349383772469E-8
13.916015625,1.36702977160403E-8
14.0380859375,1.57276625991066E-8
14.16015625,2.01821978950647E-8
14.2822265625,2.0770557474096E-8
14.404296875,1.55000994026576E-8
14.5263671875,1.03525874556347E-8
14.6484375,9.11418274048957E-9
14.7705078125,9.63825885039683E-9
14.892578125,9.53527551022314E-9
15.0146484375,8.96991779499909E-9
15.13671875,9.1684958243741E-9
15.2587890625,9.76003168822571E-9
15.380859375,1.04180022820302E-8
15.5029296875,1.11923647724433E-8
15.625,1.1135825611687E-8
15.7470703125,1.01419162736881E-8
15.869140625,9.90027205875358E-9
