// SR1 Audio Analyzer: 10/21/2024 9:07:43 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,8.5099407342452E-8
0.244140625,8.59038666278828E-8
0.48828125,7.90222088926002E-8
0.732421875,6.35498088747907E-8
0.9765625,5.20611695612021E-8
1.220703125,4.78361677402774E-8
1.46484375,4.3851863041018E-8
1.708984375,3.72524201558062E-8
1.953125,3.15119840755414E-8
2.197265625,2.89502033375405E-8
2.44140625,2.91066999773071E-8
2.685546875,3.0190655490576E-8
2.9296875,3.06664676099959E-8
3.173828125,2.94301855386862E-8
3.41796875,2.72016781645122E-8
3.662109375,2.61785987957165E-8
3.90625,2.56283321658774E-8
4.150390625,2.37684032335307E-8
4.39453125,2.24729262647467E-8
4.638671875,2.35131794183182E-8
4.8828125,2.32669380379731E-8
5.126953125,2.1733871074928E-8
5.37109375,2.19185018345623E-8
5.615234375,2.31602840295667E-8
5.859375,2.42312852243047E-8
6.103515625,2.42731190994303E-8
6.34765625,2.29030783734801E-8
6.591796875,2.10217782431447E-8
6.8359375,1.98593333726592E-8
7.080078125,1.95389009927184E-8
7.32421875,1.94297298207495E-8
7.568359375,2.01672209981332E-8
7.8125,2.13290058694978E-8
8.056640625,2.12600575869756E-8
8.30078125,2.02766007655E-8
8.544921875,2.05026158816706E-8
8.7890625,2.12311868905573E-8
9.033203125,2.04851335313209E-8
9.27734375,1.95382754561861E-8
9.521484375,2.07246512235042E-8
9.765625,2.30720364082725E-8
10.009765625,2.45994303531094E-8
10.25390625,2.44000896224266E-8
10.498046875,2.29297885509658E-8
10.7421875,2.10514307802851E-8
10.986328125,1.97413327261545E-8
11.23046875,1.88228882953653E-8
11.474609375,1.76781214186587E-8
11.71875,1.71846272322523E-8
11.962890625,1.76875119314329E-8
12.20703125,1.77867866349543E-8
12.451171875,1.7229541033297E-8
12.6953125,1.7977987253577E-8
12.939453125,1.89700463792542E-8
13.18359375,1.84104287853186E-8
13.427734375,1.76035291166724E-8
13.671875,1.79901750026422E-8
13.916015625,2.02080515220781E-8
14.16015625,2.25740291169464E-8
14.404296875,2.20531039754626E-8
14.6484375,1.95227477942478E-8
14.892578125,1.74568045565075E-8
15.13671875,1.68684446669648E-8
15.380859375,1.68151067079837E-8
15.625,1.60050638074683E-8
15.869140625,1.53032331834451E-8
16.11328125,1.55075814254292E-8
16.357421875,1.61210821986282E-8
16.6015625,1.60852722331284E-8
16.845703125,1.59292504757567E-8
17.08984375,1.56018960790102E-8
17.333984375,1.52685945727652E-8
17.578125,1.5882187153158E-8
17.822265625,1.61078493318243E-8
18.06640625,1.47959964585235E-8
18.310546875,1.32826660703405E-8
18.5546875,1.37825765283571E-8
18.798828125,1.59034494036902E-8
19.04296875,1.71768041481849E-8
19.287109375,1.67073514370378E-8
19.53125,1.52590463676107E-8
19.775390625,1.56184913243584E-8
20.01953125,1.80382193205496E-8
20.263671875,1.88998520658461E-8
20.5078125,1.7813820088589E-8
20.751953125,1.67505608657546E-8
20.99609375,1.65504875515898E-8
21.240234375,1.63796644381429E-8
21.484375,1.62398240904908E-8
21.728515625,1.6533501747527E-8
21.97265625,1.69790972197079E-8
22.216796875,1.73505654035289E-8
22.4609375,1.72908913357573E-8
22.705078125,1.71935839432968E-8
22.94921875,1.79373348950671E-8
23.193359375,1.9077753588969E-8
23.4375,1.9827885103217E-8
23.681640625,1.91630360859631E-8
23.92578125,1.72052049228085E-8
24.169921875,1.58795376886213E-8
24.4140625,1.60113285789215E-8
24.658203125,1.78828520648422E-8
24.90234375,2.01479852255853E-8
25.146484375,1.98830951600191E-8
