// SR1 Audio Analyzer: 10/23/2024 9:44:49 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,2.55108889928068E-8
0.48828125,2.55817080935562E-8
0.9765625,2.27214131725081E-8
1.46484375,1.78554503164717E-8
1.953125,1.40808586257274E-8
2.44140625,1.15574609856303E-8
2.9296875,1.07873652852545E-8
3.41796875,1.07032341213561E-8
3.90625,1.06783513148306E-8
4.39453125,1.04603522407028E-8
4.8828125,9.89896425637467E-9
5.37109375,9.44740169560097E-9
5.859375,9.05766226254217E-9
6.34765625,9.22504922065134E-9
6.8359375,9.46302407899658E-9
7.32421875,8.75563408172698E-9
7.8125,8.46411397956311E-9
8.30078125,8.79130299233633E-9
8.7890625,8.68921134827177E-9
9.27734375,8.62860524599587E-9
9.765625,8.6168263339684E-9
10.25390625,8.08611273459162E-9
10.7421875,7.29491173742462E-9
11.23046875,6.61787605576836E-9
11.71875,6.36609221219044E-9
12.20703125,6.92610969320188E-9
12.6953125,7.64750598809687E-9
13.18359375,8.46231351518372E-9
13.671875,1.03825522002239E-8
14.16015625,1.15115708161157E-8
14.6484375,9.89437155953189E-9
15.13671875,7.55847109011329E-9
15.625,6.76794162609264E-9
16.11328125,7.18060003972108E-9
16.6015625,7.62006042841919E-9
17.08984375,7.58543539931051E-9
17.578125,7.26638850167148E-9
18.06640625,6.94872227341098E-9
18.5546875,7.13669599298964E-9
19.04296875,7.87604717642942E-9
19.53125,8.32472810424498E-9
20.01953125,8.23575888197114E-9
20.5078125,8.0458037206258E-9
20.99609375,7.94831506741579E-9
21.484375,7.61187582099244E-9
21.97265625,7.23563752540654E-9
22.4609375,7.49231555664679E-9
22.94921875,8.25634918488665E-9
23.4375,8.6068529677229E-9
23.92578125,7.92049589447323E-9
24.4140625,7.32235287120543E-9
24.90234375,7.25119315483135E-9
25.390625,6.82820375044066E-9
25.87890625,6.21991944572253E-9
26.3671875,6.01699635426402E-9
26.85546875,8.10393087780996E-9
27.34375,1.98185318907948E-8
27.83203125,3.95993516491628E-8
28.3203125,5.1080138524893E-8
28.80859375,4.23833794997687E-8
29.296875,2.29727298404518E-8
29.78515625,1.04995553712814E-8
30.2734375,7.6517013245159E-9
30.76171875,6.57288106988602E-9
31.25,6.44310097416295E-9
31.73828125,7.23506617788509E-9
32.2265625,8.05149424555105E-9
32.71484375,8.04161142365212E-9
33.203125,7.34597742554545E-9
33.69140625,7.01292568703302E-9
34.1796875,7.24916419008367E-9
34.66796875,7.13334904830826E-9
35.15625,8.22251373762822E-9
35.64453125,1.12658094926205E-8
36.1328125,1.2284368715173E-8
36.62109375,1.0109352358419E-8
37.109375,7.8266587078542E-9
37.59765625,7.41418623536928E-9
38.0859375,7.74245313410307E-9
38.57421875,7.25904827091735E-9
39.0625,6.14952801314229E-9
39.55078125,6.06903194719573E-9
40.0390625,6.67792899392707E-9
40.52734375,6.54318729644168E-9
41.015625,5.86811034114919E-9
41.50390625,5.70679391911285E-9
41.9921875,6.06934209992048E-9
42.48046875,6.43503635383908E-9
42.96875,6.30872041320004E-9
43.45703125,5.8895982357685E-9
43.9453125,6.39469905577838E-9
44.43359375,7.89505607319272E-9
44.921875,8.52825192931442E-9
45.41015625,8.19250253646604E-9
45.8984375,8.93928974829466E-9
46.38671875,1.14103361256023E-8
46.875,1.20790851823327E-8
47.36328125,9.58429196786628E-9
47.8515625,7.61046967283324E-9
48.33984375,8.00974153779736E-9
48.828125,8.21686677440397E-9
49.31640625,7.502768872934E-9
49.8046875,6.76768145490178E-9
50.29296875,6.66895632897803E-9
50.78125,7.44981569038711E-9
51.26953125,8.30263207948844E-9
51.7578125,8.00892325644213E-9
52.24609375,6.98631275289396E-9
52.734375,6.30346052196923E-9
53.22265625,6.17824064261886E-9
53.7109375,6.09801910306925E-9
54.19921875,6.22367877471978E-9
54.6875,7.54088126014636E-9
55.17578125,9.3548245608629E-9
55.6640625,9.99429316973948E-9
56.15234375,9.87769660545712E-9
56.640625,9.95507152751589E-9
57.12890625,8.97071365410776E-9
57.6171875,7.4314790748965E-9
