// SR1 Audio Analyzer: 10/21/2024 9:53:27 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,6.72231282904001E-7
31.25,7.50803084303294E-7
62.5,7.83630264955008E-7
93.75,6.84930336804316E-7
125,6.05160783448278E-7
156.25,6.18310291357931E-7
187.5,6.10354847471539E-7
218.75,5.14664854201665E-7
250,4.2510203936451E-7
281.25,3.99173493151143E-7
312.5,3.87374770006354E-7
343.75,3.64820752732403E-7
375,3.45964971329016E-7
406.25,3.33974923692445E-7
437.5,3.22383962947331E-7
468.75,3.12217739931069E-7
500,3.0978649721454E-7
531.25,3.0300839327414E-7
562.5,2.88141506018157E-7
593.75,2.79713921806291E-7
625,2.78565070008913E-7
656.25,2.75395772137842E-7
687.5,2.71765818252742E-7
718.75,2.69916600104697E-7
750,2.69939910745994E-7
781.25,2.69438264788504E-7
812.5,2.63930500025802E-7
843.75,2.58600692025451E-7
875,2.5685704537588E-7
906.25,2.55538235134377E-7
937.5,2.52591654480201E-7
968.75,2.49779371772184E-7
1000,2.46660412541156E-7
1031.25,2.41726649105481E-7
1062.5,2.36522029747688E-7
1093.75,2.32656166117546E-7
1125,2.33769536570259E-7
1156.25,2.37397050652419E-7
1187.5,2.34567453136485E-7
1218.75,2.31707655421338E-7
1250,2.33044485402753E-7
1281.25,2.27088023457132E-7
1312.5,2.18493339491048E-7
1343.75,2.19124230960658E-7
1375,2.2321943653311E-7
1406.25,2.23550427804301E-7
1437.5,2.22094130665706E-7
1468.75,2.23112922592136E-7
1500,2.22041102090841E-7
1531.25,2.18294960910281E-7
1562.5,2.19821826530882E-7
1593.75,2.2247489704931E-7
1625,2.17529700625363E-7
1656.25,2.09859504550824E-7
1687.5,2.07713705572196E-7
1718.75,2.10877824890969E-7
1750,2.14894593171554E-7
1781.25,2.15105589717037E-7
1812.5,2.16368201103833E-7
1843.75,2.21229087982991E-7
1875,2.19214457560492E-7
1906.25,2.10777530582983E-7
1937.5,2.09992780185605E-7
1968.75,2.15512479061859E-7
2000,2.13520892311934E-7
2031.25,2.02616306748095E-7
2062.5,1.97124207502095E-7
2093.75,2.01946403518499E-7
