// SR1 Audio Analyzer: 10/21/2024 9:52:21 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,3.97512654777304E-8
31.25,4.17690360959717E-8
62.5,4.22918180138774E-8
93.75,4.49040911342444E-8
125,5.88428303515099E-8
156.25,8.05749947345829E-8
187.5,1.01333582438853E-7
218.75,1.10026291766336E-7
250,9.94488705490488E-8
281.25,7.59890584168299E-8
312.5,5.6501932228196E-8
343.75,5.07394858804867E-8
375,5.37330980403105E-8
406.25,5.73207622293589E-8
437.5,5.75286781253604E-8
468.75,5.42549232652271E-8
500,4.77589777983224E-8
531.25,3.86289719270453E-8
562.5,2.9828021953994E-8
593.75,2.38313195250778E-8
625,2.00575486037473E-8
656.25,1.74658031647492E-8
687.5,1.58217236271616E-8
718.75,1.50555060732375E-8
750,1.48904085166129E-8
781.25,1.47022404704221E-8
812.5,1.45151736309878E-8
843.75,1.44330932941767E-8
875,1.43721511249076E-8
906.25,1.42896427243361E-8
937.5,1.39755919623603E-8
968.75,1.36166449140715E-8
1000,1.33123000339079E-8
1031.25,1.28840926511715E-8
1062.5,1.24505385488673E-8
1093.75,1.21018396387389E-8
1125,1.19767202459991E-8
1156.25,1.19095817629068E-8
1187.5,1.1483814409985E-8
1218.75,1.10206047354619E-8
1250,1.09527653192602E-8
1281.25,1.09788295932829E-8
1312.5,1.07823928093835E-8
1343.75,1.04523986252869E-8
1375,1.02839940625313E-8
1406.25,1.02517383625673E-8
1437.5,1.01890023830459E-8
1468.75,1.01115015787781E-8
1500,1.01356548056611E-8
1531.25,1.01880349132938E-8
1562.5,1.01124996350592E-8
1593.75,9.97574944360555E-9
1625,9.87843655767571E-9
1656.25,9.83369488241517E-9
1687.5,9.93273290743856E-9
1718.75,1.01040471509288E-8
1750,1.01046675109747E-8
1781.25,9.95430066465518E-9
1812.5,9.93270801752145E-9
1843.75,1.00122437582068E-8
1875,9.86963131090231E-9
1906.25,9.64214539888518E-9
1937.5,9.57822766021425E-9
1968.75,9.57220470308024E-9
2000,9.53370159884429E-9
2031.25,9.44542181358756E-9
2062.5,9.35885691434078E-9
2093.75,9.31935089719261E-9
2125,9.15392321090612E-9
2156.25,8.99783776592674E-9
2187.5,9.08179517293309E-9
2218.75,9.32788090916343E-9
2250,9.59608436898119E-9
2281.25,9.67842350296998E-9
2312.5,9.44580132914487E-9
2343.75,9.07715439321313E-9
2375,8.78431836284933E-9
2406.25,8.76973318440124E-9
2437.5,9.01601251067111E-9
2468.75,9.08272945401842E-9
2500,8.9524499337651E-9
2531.25,8.97207626091359E-9
2562.5,9.24511458481999E-9
2593.75,9.46751259924812E-9
2625,9.40282041180574E-9
2656.25,9.14077112864285E-9
2687.5,9.03436475861959E-9
2718.75,9.17354534535165E-9
2750,9.24161903396241E-9
2781.25,9.19805078017479E-9
2812.5,9.02344883315315E-9
2843.75,8.73521398451572E-9
2875,8.58869376859402E-9
2906.25,8.70268089145734E-9
2937.5,8.93952421419032E-9
2968.75,9.06256310561818E-9
3000,9.12743102857684E-9
3031.25,9.18242098835248E-9
3062.5,9.08825195475148E-9
3093.75,8.90416442599567E-9
3125,8.81399721644347E-9
3156.25,8.84409768420308E-9
3187.5,8.91000794764433E-9
3218.75,8.9431926858935E-9
3250,8.96883175243205E-9
3281.25,9.03161284181568E-9
3312.5,9.075267011785E-9
3343.75,8.98597050082995E-9
3375,8.76841494450558E-9
3406.25,8.64479982376843E-9
3437.5,8.8092244123036E-9
3468.75,9.05482863180203E-9
3500,8.99527149610907E-9
3531.25,8.71899416796415E-9
3562.5,8.58877362307361E-9
3593.75,8.54150922229819E-9
3625,8.39854604656727E-9
3656.25,8.27121183688243E-9
3687.5,8.35280187095265E-9
3718.75,8.54677398905691E-9
3750,8.57549132134517E-9
3781.25,8.50156661601094E-9
3812.5,8.52686178704042E-9
3843.75,8.66345239533517E-9
3875,8.66765774647663E-9
3906.25,8.54309725447948E-9
3937.5,8.55958656598539E-9
3968.75,8.59315055572541E-9
4000,8.48510224549379E-9
4031.25,8.46483817994031E-9
4062.5,8.54167074640653E-9
4093.75,8.45466694635046E-9
4125,8.26136501107769E-9
4156.25,8.23661051496908E-9
4187.5,8.32601922668437E-9
4218.75,8.40685492554397E-9
4250,8.47095558159264E-9
4281.25,8.49218223524615E-9
4312.5,8.46099906752252E-9
4343.75,8.34975321821278E-9
4375,8.2436635185478E-9
4406.25,8.21760825576198E-9
4437.5,8.15330675986357E-9
4468.75,8.00240448936824E-9
4500,7.97578558003153E-9
4531.25,8.1525031871949E-9
4562.5,8.22586140136846E-9
4593.75,8.07750419551759E-9
4625,7.89551792628734E-9
4656.25,7.77032757338521E-9
4687.5,7.64665304923914E-9
4718.75,7.54479794233489E-9
4750,7.51918228730682E-9
4781.25,7.65481359735958E-9
4812.5,7.88922473310846E-9
4843.75,8.06752794906273E-9
4875,8.12094127372036E-9
4906.25,8.10117453856968E-9
4937.5,8.07833275149319E-9
4968.75,7.90584792197696E-9
5000,7.67991587651137E-9
5031.25,7.69406042484893E-9
5062.5,7.84464701201825E-9
5093.75,7.97113919191208E-9
5125,8.12545120974148E-9
5156.25,8.19929584598743E-9
5187.5,8.17091436774548E-9
5218.75,8.15904513575569E-9
5250,8.2019813595126E-9
5281.25,8.22926607155052E-9
5312.5,8.11935268904552E-9
5343.75,7.91877702996139E-9
5375,7.88250058774629E-9
5406.25,7.99266003722245E-9
5437.5,7.92870180664729E-9
5468.75,7.70437095792045E-9
5500,7.65811026796989E-9
5531.25,7.76366840125884E-9
5562.5,7.84885416213017E-9
5593.75,7.90467970863699E-9
5625,7.89281781322144E-9
5656.25,7.81084441965498E-9
5687.5,7.67347314599203E-9
5718.75,7.58962765803259E-9
5750,7.73948673237016E-9
5781.25,7.93492851413891E-9
5812.5,7.86426196828688E-9
5843.75,7.72208332336143E-9
5875,7.75305691201708E-9
5906.25,7.72588704002574E-9
5937.5,7.62542168306514E-9
5968.75,7.71904643922454E-9
6000,7.92069808868833E-9
6031.25,8.12023565638765E-9
6062.5,8.14277920649236E-9
6093.75,7.84030511803591E-9
6125,7.58500441853667E-9
6156.25,7.67299635552674E-9
6187.5,7.86338778318249E-9
6218.75,7.87618484301279E-9
6250,7.75742091038847E-9
6281.25,7.65549414019089E-9
6312.5,7.59448777254744E-9
6343.75,7.52594943764346E-9
6375,7.48300851159252E-9
6406.25,7.512668326404E-9
6437.5,7.60654099181964E-9
6468.75,7.71821186155358E-9
6500,7.71824389281683E-9
6531.25,7.5747959328312E-9
6562.5,7.3735941566721E-9
6593.75,7.30689195745687E-9
6625,7.32103852154047E-9
6656.25,7.32802619920138E-9
6687.5,7.41746826051963E-9
6718.75,7.62791822230967E-9
6750,7.7344040210803E-9
6781.25,7.62154977712647E-9
6812.5,7.54147553194992E-9
6843.75,7.6797263623212E-9
6875,7.80230585674612E-9
6906.25,7.72103940005759E-9
6937.5,7.66474903827574E-9
6968.75,7.80929206784278E-9
7000,8.0337089256326E-9
7031.25,8.0896096439012E-9
7062.5,7.89059156471356E-9
7093.75,7.70190463670675E-9
7125,7.70244926753663E-9
7156.25,7.72622122121492E-9
7187.5,7.69807741539551E-9
7218.75,7.77570116348441E-9
7250,7.83035945394837E-9
7281.25,7.72713311395122E-9
7312.5,7.56053743429368E-9
7343.75,7.45900645149013E-9
7375,7.51651647948655E-9
7406.25,7.71637500786253E-9
7437.5,7.85596038831846E-9
7468.75,7.85464971892865E-9
7500,7.68734296704798E-9
7531.25,7.43795220321857E-9
7562.5,7.35767831347932E-9
7593.75,7.50203692659297E-9
7625,7.62633647853685E-9
7656.25,7.68048620812676E-9
7687.5,7.78628947396275E-9
7718.75,7.88180802601621E-9
7750,7.91517155263645E-9
7781.25,7.85034408764971E-9
7812.5,7.7343589100819E-9
7843.75,7.71910352093686E-9
7875,7.7488654186604E-9
7906.25,7.6642857523749E-9
7937.5,7.54920626904092E-9
7968.75,7.53354816953468E-9
8000,7.61032124417812E-9
8031.25,7.76163475514024E-9
8062.5,7.77329851211369E-9
8093.75,7.58113790612735E-9
8125,7.34333137549497E-9
8156.25,7.24305318114103E-9
8187.5,7.32293533446085E-9
8218.75,7.40486012994455E-9
8250,7.44825214882182E-9
8281.25,7.4350566944017E-9
8312.5,7.31925453528607E-9
8343.75,7.36360025613783E-9
8375,7.51425197494643E-9
8406.25,7.49728255546866E-9
8437.5,7.43055113183612E-9
8468.75,7.38113364445776E-9
8500,7.34524116051932E-9
8531.25,7.36028029703827E-9
8562.5,7.38500957140114E-9
8593.75,7.4741151712584E-9
8625,7.69848117459452E-9
8656.25,8.00820045685474E-9
8687.5,8.10625650762553E-9
8718.75,7.8817177203856E-9
8750,7.68143857011172E-9
8781.25,7.69839519301181E-9
8812.5,7.70559386101518E-9
8843.75,7.56905371685406E-9
8875,7.43737238742317E-9
8906.25,7.40138412508872E-9
8937.5,7.43054737539058E-9
8968.75,7.40878957537993E-9
9000,7.40068829716132E-9
9031.25,7.46145740087471E-9
9062.5,7.53500915550839E-9
9093.75,7.67846480553543E-9
9125,7.7656262903678E-9
9156.25,7.62616837773891E-9
9187.5,7.41528401426301E-9
9218.75,7.33462042067744E-9
9250,7.36726187636964E-9
9281.25,7.36534886830693E-9
9312.5,7.33481232791527E-9
9343.75,7.44934313180734E-9
9375,7.55414834252813E-9
9406.25,7.50806010132733E-9
9437.5,7.38036404987823E-9
9468.75,7.29569454711585E-9
9500,7.29386308698918E-9
9531.25,7.37031467731899E-9
9562.5,7.51052663257052E-9
9593.75,7.60450491480067E-9
9625,7.55317069219794E-9
9656.25,7.37396187800643E-9
9687.5,7.21705055389729E-9
9718.75,7.26110420060343E-9
9750,7.43920710972094E-9
9781.25,7.5166424715922E-9
9812.5,7.47022809489913E-9
9843.75,7.50508059813606E-9
9875,7.61279837933393E-9
9906.25,7.60798717458491E-9
9937.5,7.58042438668232E-9
9968.75,7.64061726949175E-9
10000,7.75195003270217E-9
10031.25,7.78688811604753E-9
10062.5,7.65796837891742E-9
10093.75,7.42204516089656E-9
10125,7.19756872071609E-9
10156.25,7.1183478850515E-9
10187.5,7.2878445366351E-9
10218.75,7.5594150252234E-9
10250,7.70484140785486E-9
10281.25,7.69674400493828E-9
10312.5,7.72378923904103E-9
10343.75,7.67445287690003E-9
10375,7.49741153004282E-9
10406.25,7.42900465732385E-9
10437.5,7.47055876719444E-9
10468.75,7.56169817178463E-9
10500,7.56297261558719E-9
10531.25,7.35477749650554E-9
10562.5,7.1567044975131E-9
10593.75,7.05069890020415E-9
10625,7.1417952850929E-9
10656.25,7.3779123736932E-9
10687.5,7.45154950183122E-9
10718.75,7.40348468141241E-9
10750,7.40271660249242E-9
10781.25,7.38431274048563E-9
10812.5,7.3475482568899E-9
10843.75,7.37434931748499E-9
10875,7.32155729396072E-9
10906.25,7.23926924927183E-9
10937.5,7.28883671298893E-9
10968.75,7.33241910842536E-9
11000,7.26056353443554E-9
11031.25,7.04190568311443E-9
11062.5,6.90623883048408E-9
11093.75,7.09457063972252E-9
11125,7.37124950193592E-9
11156.25,7.43715444219729E-9
11187.5,7.31740499492932E-9
11218.75,7.19764517308271E-9
11250,7.23698025377627E-9
11281.25,7.28854375189008E-9
11312.5,7.22324622910315E-9
11343.75,7.18060224633271E-9
11375,7.28914361198738E-9
11406.25,7.33877167270786E-9
11437.5,7.27752467808149E-9
11468.75,7.32720939519848E-9
11500,7.39045452160558E-9
11531.25,7.43980205762251E-9
11562.5,7.5327909704284E-9
11593.75,7.57815345925011E-9
11625,7.60051847655865E-9
11656.25,7.57502465710671E-9
11687.5,7.40152069687398E-9
11718.75,7.25968750937151E-9
11750,7.24514047721337E-9
11781.25,7.30091036349099E-9
11812.5,7.35686073656056E-9
11843.75,7.35319827518773E-9
11875,7.33998758067502E-9
11906.25,7.32990869181209E-9
11937.5,7.31666929878052E-9
11968.75,7.29825060718613E-9
12000,7.24849831973057E-9
12031.25,7.10797548061087E-9
12062.5,6.85825824785514E-9
12093.75,6.70547789514786E-9
12125,6.82065827922338E-9
12156.25,7.12293784834826E-9
12187.5,7.36095475529235E-9
12218.75,7.36155765240637E-9
12250,7.25120492062422E-9
12281.25,7.15092125462185E-9
12312.5,7.18089822292245E-9
12343.75,7.33311135465168E-9
12375,7.33985801294045E-9
12406.25,7.21358548370011E-9
12437.5,7.16003949083642E-9
12468.75,7.19144989802614E-9
12500,7.33464352592238E-9
12531.25,7.49300253224371E-9
12562.5,7.44115525292429E-9
12593.75,7.29895674707381E-9
12625,7.37314015775779E-9
12656.25,7.47863074489374E-9
12687.5,7.34504545414576E-9
12718.75,7.13636623380986E-9
12750,7.03816941042543E-9
12781.25,6.95659695526143E-9
12812.5,6.91781359373314E-9
12843.75,7.02811952337847E-9
12875,7.14692981529066E-9
12906.25,7.18057003801282E-9
12937.5,7.16791125505253E-9
12968.75,7.1778218030554E-9
13000,7.28446815556696E-9
13031.25,7.39707098524417E-9
13062.5,7.33283810736911E-9
13093.75,7.17817122274727E-9
13125,7.17672204771549E-9
13156.25,7.25929120374653E-9
13187.5,7.23243537495421E-9
13218.75,7.12878714283336E-9
13250,7.07290966185495E-9
13281.25,7.09883249812505E-9
