// SR1 Audio Analyzer: 10/21/2024 9:46:30 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,1.69911681413041E-6
3.90625,1.83001184239601E-6
7.8125,1.83475851531207E-6
11.71875,1.54986942809277E-6
15.625,1.24905512635671E-6
19.53125,1.08831358023128E-6
23.4375,1.04730680955487E-6
27.34375,1.03636928434382E-6
31.25,9.86780475565866E-7
35.15625,9.25692546471807E-7
39.0625,8.54422452483553E-7
42.96875,7.67660873412415E-7
46.875,7.13295204689844E-7
50.78125,7.52351435046119E-7
54.6875,1.01309223321958E-6
58.59375,1.32203260307189E-6
62.5,1.27305798891351E-6
66.40625,9.22592033321247E-7
70.3125,6.73346748221878E-7
74.21875,6.09328445382136E-7
78.125,5.95944257159736E-7
82.03125,5.69541363036816E-7
85.9375,5.29906859500251E-7
89.84375,5.12668054941172E-7
93.75,5.18873222826432E-7
97.65625,5.32755449811911E-7
101.5625,5.35657911558692E-7
105.46875,5.3800669222031E-7
109.375,5.65810961367185E-7
113.28125,6.38029645637566E-7
117.1875,7.48283991888278E-7
121.09375,7.67443900055044E-7
125,6.4905567474518E-7
128.90625,5.26365877956901E-7
132.8125,4.67930569698543E-7
136.71875,4.36266064203107E-7
140.625,4.2122613444353E-7
144.53125,4.18005520004742E-7
148.4375,4.27368473351911E-7
152.34375,4.48076875836889E-7
156.25,4.69921884465078E-7
160.15625,4.88967348758804E-7
164.0625,5.00125961058568E-7
167.96875,5.03725953296925E-7
171.875,6.64575136622595E-7
175.78125,1.10879052881977E-6
179.6875,1.40595423460974E-6
183.59375,1.19832731511508E-6
187.5,7.20833282623914E-7
191.40625,4.5863006742082E-7
195.3125,4.15064090482155E-7
199.21875,3.94495059418647E-7
203.125,3.87862545182784E-7
207.03125,4.02830714628145E-7
210.9375,4.23851741293838E-7
214.84375,4.2692295181797E-7
218.75,4.09083895757112E-7
222.65625,3.9076965925339E-7
226.5625,3.83707587930063E-7
230.46875,4.03372339950743E-7
234.375,4.68886421599618E-7
238.28125,5.43081465458414E-7
242.1875,5.29983327624626E-7
246.09375,4.30776349972199E-7
250,3.61802448466225E-7
253.90625,3.54140455648197E-7
257.8125,3.54016903186328E-7
261.71875,3.45655892791188E-7
265.625,3.3822058999144E-7
269.53125,3.45707520567828E-7
273.4375,3.56801334681122E-7
277.34375,3.51850707636652E-7
281.25,3.33075383339949E-7
285.15625,3.1923927310326E-7
289.0625,3.20981035533729E-7
292.96875,4.04264130122199E-7
296.875,5.67001186409798E-7
300.78125,6.26754492947904E-7
304.6875,5.11734557470456E-7
308.59375,3.73397374028071E-7
312.5,3.40119513214369E-7
316.40625,3.39894695551228E-7
320.3125,3.36816381473826E-7
324.21875,3.4849800460566E-7
328.125,3.60102774110034E-7
332.03125,3.53162388733113E-7
335.9375,3.32597145993975E-7
339.84375,3.25238124967172E-7
343.75,3.42449154797507E-7
347.65625,3.52799777628313E-7
351.5625,3.38899600824812E-7
355.46875,3.30855680258405E-7
359.375,3.5165465374116E-7
363.28125,3.55983817210165E-7
367.1875,3.37839661638522E-7
371.09375,3.33610572685396E-7
375,3.51852991220264E-7
378.90625,3.64431209568751E-7
382.8125,3.53929325152959E-7
386.71875,3.3547534940043E-7
390.625,3.22106493742983E-7
394.53125,3.03844992231087E-7
398.4375,2.968035514544E-7
402.34375,3.14796165893411E-7
406.25,3.29894641170081E-7
410.15625,3.35922321784644E-7
414.0625,3.64683955945176E-7
417.96875,4.14357375513019E-7
421.875,4.21673550220016E-7
425.78125,3.72675564248298E-7
429.6875,3.2521099252918E-7
433.59375,3.06987398209704E-7
437.5,3.06159749437412E-7
441.40625,3.14831852312059E-7
445.3125,3.25083801756519E-7
449.21875,3.25485598535946E-7
453.125,3.16474155246512E-7
457.03125,3.07924859760791E-7
460.9375,3.01942764891268E-7
464.84375,2.99314801899125E-7
468.75,2.94217848154742E-7
472.65625,2.94087908360369E-7
476.5625,2.97134654680377E-7
480.46875,2.93604794355338E-7
484.375,2.98206885763331E-7
488.28125,3.04687972747206E-7
492.1875,2.96797006519195E-7
496.09375,2.84463020604032E-7
500,2.85968845867877E-7
503.90625,2.92760154862462E-7
507.8125,2.83455009744736E-7
511.71875,2.70109077588553E-7
515.625,2.79492903074854E-7
519.53125,2.94709323147054E-7
523.4375,2.94065488059913E-7
527.34375,2.92226167453687E-7
531.25,3.06933969516087E-7
535.15625,3.40307449184473E-7
539.0625,3.63201069467878E-7
542.96875,3.33653851073202E-7
546.875,2.84326013023007E-7
550.78125,2.76698291970303E-7
554.6875,2.87170437833946E-7
558.59375,2.88964610501341E-7
562.5,2.84364974830067E-7
566.40625,2.83449006987269E-7
570.3125,2.89375856936234E-7
574.21875,2.95084856203373E-7
578.125,2.95009342448961E-7
582.03125,2.95634751688082E-7
585.9375,2.98996040278385E-7
589.84375,2.97017018760856E-7
593.75,2.93798595379576E-7
597.65625,2.91461283730565E-7
601.5625,2.82801563635837E-7
605.46875,2.66399539175732E-7
609.375,2.53819744393498E-7
613.28125,2.591237593265E-7
617.1875,2.67979283477572E-7
621.09375,2.69161587111022E-7
625,2.66842871577194E-7
628.90625,2.65806173698405E-7
632.8125,2.59709016201871E-7
636.71875,2.53382435788936E-7
640.625,2.6197659544967E-7
644.53125,2.76342797831397E-7
648.4375,2.82151596057229E-7
652.34375,2.81858784309607E-7
656.25,2.83462763118325E-7
660.15625,2.7338829937472E-7
664.0625,2.62071258546832E-7
667.96875,2.67320222047588E-7
671.875,2.7349898148246E-7
675.78125,2.7317984612523E-7
679.6875,2.80792238337521E-7
683.59375,2.94932879897619E-7
687.5,2.99984050413446E-7
691.40625,2.94938809178189E-7
695.3125,2.85744180940205E-7
699.21875,2.80823578278659E-7
703.125,2.79783427066296E-7
707.03125,2.75774495382251E-7
710.9375,2.79477480251989E-7
714.84375,2.8368800192737E-7
718.75,2.77006967091791E-7
722.65625,2.72722466231142E-7
726.5625,2.84913878603158E-7
730.46875,3.03301099891751E-7
734.375,3.05532479292448E-7
738.28125,2.88353484388736E-7
742.1875,2.65478894647553E-7
746.09375,2.50494055788671E-7
750,2.40626093862411E-7
753.90625,2.33676715061444E-7
757.8125,2.39103848040728E-7
761.71875,2.43218870299948E-7
765.625,2.44890758476853E-7
769.53125,2.56824929673835E-7
773.4375,2.79011163679717E-7
777.34375,3.01913679839982E-7
781.25,2.96635997068839E-7
785.15625,2.6919274482754E-7
789.0625,2.54451475537159E-7
792.96875,2.55596216088404E-7
796.875,2.60442471689299E-7
800.78125,2.59674836759414E-7
804.6875,2.51700441864579E-7
808.59375,2.54221332529125E-7
812.5,2.61326495184226E-7
816.40625,2.4894139119496E-7
820.3125,2.34109113336211E-7
824.21875,2.36709957802646E-7
828.125,2.44283128406661E-7
832.03125,2.45684484013547E-7
835.9375,2.41077700624169E-7
839.84375,2.38134137629028E-7
843.75,2.43737080803926E-7
847.65625,2.56848953779014E-7
851.5625,2.65598505141212E-7
855.46875,2.6650466440906E-7
859.375,2.70874004855584E-7
863.28125,2.76324376973068E-7
867.1875,2.74007903835258E-7
871.09375,2.69139680611739E-7
875,2.70140239746371E-7
878.90625,2.68716988239736E-7
882.8125,2.55485020677296E-7
886.71875,2.44658499287402E-7
890.625,2.44284298953227E-7
894.53125,2.40374191196624E-7
898.4375,2.3463939623442E-7
902.34375,2.37293879295839E-7
906.25,2.39611400902541E-7
910.15625,2.35486768038156E-7
914.0625,2.32616880416791E-7
917.96875,2.39148616156914E-7
921.875,2.45555173545669E-7
925.78125,2.49639283173695E-7
929.6875,2.59948019190287E-7
933.59375,2.63788816912682E-7
937.5,2.56357931650284E-7
941.40625,2.46752942815831E-7
945.3125,2.40705856516544E-7
949.21875,2.36437032224031E-7
953.125,2.32387394331433E-7
957.03125,2.37912675296257E-7
960.9375,2.39480844004279E-7
964.84375,2.22711668852622E-7
968.75,2.10932418839862E-7
972.65625,2.12854565265675E-7
976.5625,2.15823719130374E-7
980.46875,2.1625904174616E-7
984.375,2.14020416481154E-7
988.28125,2.20218193242581E-7
992.1875,2.37416362053492E-7
996.09375,2.59201485790998E-7
1000,2.69709188275847E-7
1003.90625,2.63953192340244E-7
1007.8125,2.57800565649244E-7
1011.71875,2.54735362174484E-7
1015.625,2.48021782321329E-7
1019.53125,2.3969978287064E-7
1023.4375,2.40558250744125E-7
1027.34375,2.46674666072945E-7
1031.25,2.50561594830092E-7
1035.15625,2.45943102767121E-7
1039.0625,2.35670102224508E-7
1042.96875,2.28173206036526E-7
1046.875,2.25664867328488E-7
1050.78125,2.16115132415824E-7
1054.6875,2.08846099907146E-7
1058.59375,2.16521548404186E-7
1062.5,2.25171437419362E-7
1066.40625,2.35384746921714E-7
1070.3125,2.43579417577399E-7
1074.21875,2.4886748718156E-7
1078.125,2.55740640551925E-7
1082.03125,2.59252227027633E-7
1085.9375,2.58066208671085E-7
1089.84375,2.49006029723131E-7
1093.75,2.32882816393395E-7
1097.65625,2.26373710238382E-7
1101.5625,2.33132950622854E-7
1105.46875,2.37381182857072E-7
1109.375,2.37392382233106E-7
1113.28125,2.39288361308794E-7
1117.1875,2.36373005647599E-7
1121.09375,2.25214001321854E-7
1125,2.20780814885648E-7
1128.90625,2.29031294485176E-7
1132.8125,2.39108473479383E-7
1136.71875,2.53508872351338E-7
1140.625,2.62385126512817E-7
1144.53125,2.55153209085401E-7
1148.4375,2.47682004875265E-7
1152.34375,2.44623289263839E-7
1156.25,2.42063989921527E-7
1160.15625,2.38581675540586E-7
1164.0625,2.23143233695686E-7
1167.96875,2.09154918896822E-7
1171.875,2.11989611335188E-7
1175.78125,2.13598997157588E-7
1179.6875,2.08972534315364E-7
1183.59375,2.1206013077689E-7
1187.5,2.25107398008911E-7
1191.40625,2.37148982880062E-7
1195.3125,2.36301621311271E-7
1199.21875,2.28950076024463E-7
1203.125,2.26412447208405E-7
1207.03125,2.27036388188978E-7
1210.9375,2.32121980108303E-7
1214.84375,2.42089635040564E-7
1218.75,2.42151632875814E-7
1222.65625,2.28801672146964E-7
1226.5625,2.2052371063607E-7
1230.46875,2.21782118454368E-7
1234.375,2.26729432144066E-7
1238.28125,2.21945821466094E-7
1242.1875,2.11135205911013E-7
1246.09375,2.15048539948268E-7
1250,2.30408387039503E-7
1253.90625,2.40402493781444E-7
1257.8125,2.44075039926912E-7
1261.71875,2.36885841050731E-7
1265.625,2.24756984267784E-7
1269.53125,2.23932963476311E-7
1273.4375,2.30016686227255E-7
1277.34375,2.32669051869209E-7
1281.25,2.26955642860612E-7
1285.15625,2.18140713052499E-7
1289.0625,2.16600499121155E-7
1292.96875,2.18862954925091E-7
1296.875,2.21816277158419E-7
1300.78125,2.28969769244771E-7
1304.6875,2.30660600140203E-7
1308.59375,2.29740849543284E-7
1312.5,2.38209476808597E-7
1316.40625,2.48398724374877E-7
1320.3125,2.44256494538058E-7
1324.21875,2.33808349970505E-7
1328.125,2.30571889572202E-7
1332.03125,2.2395877485695E-7
1335.9375,2.15983885348327E-7
1339.84375,2.15909853477029E-7
1343.75,2.1682016567315E-7
1347.65625,2.12542193519296E-7
1351.5625,2.09722328642254E-7
1355.46875,2.0946078922556E-7
1359.375,2.08439774523107E-7
1363.28125,2.09694731092302E-7
1367.1875,2.13125600883582E-7
1371.09375,2.17742159878156E-7
1375,2.23979729906038E-7
1378.90625,2.28894723636919E-7
1382.8125,2.25777184094055E-7
1386.71875,2.19498968001643E-7
1390.625,2.19272964494095E-7
1394.53125,2.21447039495853E-7
1398.4375,2.18424231490116E-7
1402.34375,2.03164877684015E-7
1406.25,1.88594615335212E-7
1410.15625,1.97838544330943E-7
1414.0625,2.15338467213731E-7
1417.96875,2.2198635309791E-7
1421.875,2.20593580187178E-7
1425.78125,2.18058570275061E-7
1429.6875,2.16083965858113E-7
1433.59375,2.1689953066925E-7
1437.5,2.18347671902553E-7
1441.40625,2.16900434977334E-7
1445.3125,2.13089760711352E-7
1449.21875,2.09396944615509E-7
1453.125,2.08282100982668E-7
1457.03125,2.06819619067227E-7
1460.9375,2.04147881058557E-7
1464.84375,2.07197347965455E-7
1468.75,2.13196642419925E-7
1472.65625,2.11528097967845E-7
1476.5625,2.01296045345049E-7
1480.46875,1.93634641100143E-7
1484.375,2.04226477539126E-7
1488.28125,2.21893844547472E-7
1492.1875,2.32038523332689E-7
1496.09375,2.37706863996624E-7
1500,2.37827464730593E-7
1503.90625,2.33121972379322E-7
1507.8125,2.33097165524404E-7
1511.71875,2.32591603122518E-7
1515.625,2.1978644377652E-7
1519.53125,2.06678867558372E-7
1523.4375,2.02573595625699E-7
1527.34375,1.95000234294962E-7
1531.25,1.8900912000387E-7
1535.15625,1.90310207643613E-7
1539.0625,1.92188566283863E-7
1542.96875,1.96513314905095E-7
1546.875,2.00017660341729E-7
1550.78125,1.94645428027631E-7
1554.6875,1.82553190890162E-7
1558.59375,1.77261293360525E-7
1562.5,1.98973856366E-7
1566.40625,2.20575442588756E-7
1570.3125,2.18054939719388E-7
1574.21875,2.02684856924992E-7
1578.125,1.89380245506262E-7
1582.03125,1.91223234045318E-7
1585.9375,2.00646158158667E-7
1589.84375,2.1042155828379E-7
1593.75,2.15007140098375E-7
1597.65625,2.08357221185994E-7
1601.5625,2.05948700000277E-7
1605.46875,2.12383459764416E-7
1609.375,2.12035155733856E-7
1613.28125,2.15868180918406E-7
1617.1875,2.4337377639981E-7
1621.09375,2.57218610409369E-7
